,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words
ML14,We Got Love,Ryan Shaw,37,3,5,6,0,2,37,1,4,5,100,158,40,18,23.417721518987342,1.8987341772151898,3.1645569620253164,3.7974683544303796,0.0,1.2658227848101267,23.417721518987342,0.6329113924050633,2.5316455696202533,3.1645569620253164,63.29113924050633,100.0,25.31645569620253,11.39240506329114
ML15,I Love How You Love Me,The Paris Sisters,30,2,2,6,1,1,30,2,3,7,18,61,32,11,49.18032786885246,3.278688524590164,3.278688524590164,9.836065573770492,1.639344262295082,1.639344262295082,49.18032786885246,3.278688524590164,4.918032786885246,11.475409836065573,29.508196721311474,100.0,52.459016393442624,18.0327868852459
ML16,I Came To Jesus,New Direction,13,13,3,2,6,7,4,7,0,7,26,58,26,6,22.413793103448278,22.413793103448278,5.172413793103448,3.4482758620689653,10.344827586206897,12.068965517241379,6.896551724137931,12.068965517241379,0.0,12.068965517241379,44.827586206896555,100.0,44.827586206896555,10.344827586206897
ML17,God Great God,Kurt Carr & The Kurt Carr Singers,30,1,0,17,1,16,19,0,0,24,24,58,31,3,51.724137931034484,1.7241379310344827,0.0,29.310344827586206,1.7241379310344827,27.586206896551722,32.758620689655174,0.0,0.0,41.37931034482759,41.37931034482759,100.0,53.44827586206897,5.172413793103448
ML19,Battlefield,Jordin Sparks,30,54,11,7,1,56,15,14,8,16,141,269,84,44,11.152416356877323,20.074349442379184,4.089219330855019,2.6022304832713754,0.37174721189591076,20.817843866171003,5.5762081784386615,5.204460966542751,2.973977695167286,5.947955390334572,52.41635687732342,100.0,31.226765799256505,16.356877323420075
ML20,You Got Yr. Cherry Bomb,Spoon,15,9,8,5,0,8,3,9,9,3,42,87,24,21,17.24137931034483,10.344827586206897,9.195402298850574,5.747126436781609,0.0,9.195402298850574,3.4482758620689653,10.344827586206897,10.344827586206897,3.4482758620689653,48.275862068965516,100.0,27.586206896551722,24.137931034482758
ML21,Peace Of God,Tarralyn Ramsey,10,0,0,8,0,3,6,0,0,8,15,32,10,7,31.25,0.0,0.0,25.0,0.0,9.375,18.75,0.0,0.0,25.0,46.875,100.0,31.25,21.875
ML22,One,Tyrese,18,5,3,8,3,2,15,2,3,10,125,187,23,39,9.62566844919786,2.6737967914438503,1.6042780748663101,4.278074866310161,1.6042780748663101,1.0695187165775402,8.02139037433155,1.0695187165775402,1.6042780748663101,5.347593582887701,66.84491978609626,100.0,12.29946524064171,20.855614973262032
ML24,Unconditional Love,Tarralyn Ramsey,34,7,0,3,7,1,26,0,0,8,72,122,41,9,27.868852459016395,5.737704918032787,0.0,2.459016393442623,5.737704918032787,0.819672131147541,21.311475409836067,0.0,0.0,6.557377049180328,59.01639344262295,100.0,33.60655737704918,7.377049180327869
ML25,Steppin' Into Love,Kool & The Gang,42,3,1,7,1,4,39,7,9,9,61,120,45,14,35.0,2.5,0.8333333333333334,5.833333333333333,0.8333333333333334,3.3333333333333335,32.5,5.833333333333333,7.5,7.5,50.833333333333336,100.0,37.5,11.666666666666666
ML26,Darkness At The Bottom,Anders Osborne,4,21,10,0,6,10,1,14,0,4,57,99,25,17,4.040404040404041,21.21212121212121,10.1010101010101,0.0,6.0606060606060606,10.1010101010101,1.0101010101010102,14.141414141414142,0.0,4.040404040404041,57.57575757575758,100.0,25.252525252525253,17.171717171717173
ML29,Detroit City,Bobby Bare,4,11,0,3,0,10,2,10,0,2,65,112,15,32,3.5714285714285716,9.821428571428571,0.0,2.6785714285714284,0.0,8.928571428571429,1.7857142857142858,8.928571428571429,0.0,1.7857142857142858,58.035714285714285,100.0,13.392857142857142,28.571428571428573
ML30,Got No Reason Now For Goin' Home,Gene Watson,12,0,0,0,0,0,2,0,0,0,67,88,12,9,13.636363636363637,0.0,0.0,0.0,0.0,0.0,2.272727272727273,0.0,0.0,0.0,76.13636363636364,100.0,13.636363636363637,10.227272727272727
ML32,Don't Worry,Playing For Change,18,2,0,14,0,2,14,3,8,15,35,76,20,21,23.68421052631579,2.6315789473684212,0.0,18.42105263157895,0.0,2.6315789473684212,18.42105263157895,3.9473684210526314,10.526315789473685,19.736842105263158,46.05263157894737,100.0,26.31578947368421,27.63157894736842
ML33,Melody,The Rolling Stones,15,2,1,9,1,3,15,2,5,7,128,212,17,67,7.0754716981132075,0.9433962264150944,0.4716981132075472,4.245283018867925,0.4716981132075472,1.4150943396226414,7.0754716981132075,0.9433962264150944,2.358490566037736,3.30188679245283,60.37735849056604,100.0,8.018867924528301,31.60377358490566
ML34,Fixed,Stars,2,11,0,2,1,1,1,11,2,4,41,79,13,25,2.5316455696202533,13.924050632911392,0.0,2.5316455696202533,1.2658227848101267,1.2658227848101267,1.2658227848101267,13.924050632911392,2.5316455696202533,5.063291139240507,51.89873417721519,100.0,16.455696202531644,31.645569620253166
ML37,You Are Not Alone,Mavis Staples,0,17,8,0,1,17,0,11,3,0,40,73,17,16,0.0,23.28767123287671,10.95890410958904,0.0,1.36986301369863,23.28767123287671,0.0,15.068493150684931,4.109589041095891,0.0,54.794520547945204,100.0,23.28767123287671,21.91780821917808
ML38,Not Fade Away,The Rolling Stones,23,8,0,0,0,0,20,0,0,4,50,87,31,6,26.436781609195403,9.195402298850574,0.0,0.0,0.0,0.0,22.988505747126435,0.0,0.0,4.597701149425287,57.47126436781609,100.0,35.632183908045974,6.896551724137931
ML39,God Only Knows,The Beach Boys,19,3,0,19,0,17,19,3,4,21,72,105,22,11,18.095238095238095,2.857142857142857,0.0,18.095238095238095,0.0,16.19047619047619,18.095238095238095,2.857142857142857,3.8095238095238093,20.0,68.57142857142857,100.0,20.952380952380953,10.476190476190476
ML41,Angry Again,Megadeth,13,30,23,12,16,8,8,6,5,9,41,140,43,56,9.285714285714286,21.428571428571427,16.428571428571427,8.571428571428571,11.428571428571429,5.714285714285714,5.714285714285714,4.285714285714286,3.5714285714285716,6.428571428571429,29.285714285714285,100.0,30.714285714285715,40.0
ML42,Do You Call My Name,Ra,7,33,7,7,7,19,1,17,0,3,106,166,40,20,4.216867469879518,19.879518072289155,4.216867469879518,4.216867469879518,4.216867469879518,11.44578313253012,0.6024096385542169,10.240963855421686,0.0,1.8072289156626506,63.855421686746986,100.0,24.096385542168676,12.048192771084338
ML45,Dirthouse,Static-X,10,21,2,5,11,9,2,10,4,3,78,139,31,30,7.194244604316546,15.107913669064748,1.4388489208633093,3.597122302158273,7.913669064748201,6.474820143884892,1.4388489208633093,7.194244604316546,2.8776978417266186,2.158273381294964,56.115107913669064,100.0,22.302158273381295,21.58273381294964
ML46,Cyanide,Metallica,7,22,15,14,7,18,6,21,16,5,69,154,29,56,4.545454545454546,14.285714285714286,9.74025974025974,9.090909090909092,4.545454545454546,11.688311688311689,3.896103896103896,13.636363636363637,10.38961038961039,3.2467532467532467,44.8051948051948,100.0,18.83116883116883,36.36363636363637
ML47,Longview,Green Day,4,27,10,6,12,6,3,8,0,1,75,143,31,37,2.797202797202797,18.88111888111888,6.993006993006993,4.195804195804196,8.391608391608392,4.195804195804196,2.097902097902098,5.594405594405594,0.0,0.6993006993006993,52.44755244755245,100.0,21.678321678321677,25.874125874125873
ML48,Rape Me,Nirvana,5,30,28,1,29,27,5,28,1,4,37,77,35,5,6.4935064935064934,38.96103896103896,36.36363636363637,1.2987012987012987,37.66233766233766,35.064935064935064,6.4935064935064934,36.36363636363637,1.2987012987012987,5.194805194805195,48.05194805194805,100.0,45.45454545454545,6.4935064935064934
ML49,Sweet Dreams ,Marilyn Manson,6,11,9,3,6,8,3,8,3,3,64,100,17,19,6.0,11.0,9.0,3.0,6.0,8.0,3.0,8.0,3.0,3.0,64.0,100.0,17.0,19.0
ML50,Mudshovel,Staind,8,33,22,5,5,26,8,19,7,8,81,145,41,23,5.517241379310345,22.75862068965517,15.172413793103448,3.4482758620689653,3.4482758620689653,17.93103448275862,5.517241379310345,13.10344827586207,4.827586206896552,5.517241379310345,55.86206896551724,100.0,28.275862068965516,15.862068965517242
ML51,This Love,Pantera,49,15,7,4,5,10,49,13,6,0,39,131,64,28,37.404580152671755,11.450381679389313,5.343511450381679,3.053435114503817,3.816793893129771,7.633587786259542,37.404580152671755,9.923664122137405,4.580152671755725,0.0,29.770992366412212,100.0,48.85496183206107,21.374045801526716
ML54,Harvester Of Sorrow,Metallica,3,37,19,4,12,29,2,30,3,1,42,98,40,16,3.061224489795918,37.755102040816325,19.387755102040817,4.081632653061225,12.244897959183673,29.591836734693878,2.0408163265306123,30.612244897959183,3.061224489795918,1.0204081632653061,42.857142857142854,100.0,40.816326530612244,16.3265306122449
ML55,Civil War,Guns N' Roses,33,42,20,14,9,35,12,21,5,13,145,273,75,53,12.087912087912088,15.384615384615385,7.326007326007326,5.128205128205129,3.2967032967032965,12.820512820512821,4.395604395604396,7.6923076923076925,1.8315018315018314,4.761904761904762,53.11355311355312,100.0,27.47252747252747,19.413919413919412
ML56,King Of Nothing,Shadows Fall,13,46,15,6,7,24,2,36,6,4,47,142,59,36,9.154929577464788,32.394366197183096,10.56338028169014,4.225352112676056,4.929577464788732,16.901408450704224,1.408450704225352,25.35211267605634,4.225352112676056,2.816901408450704,33.098591549295776,100.0,41.54929577464789,25.35211267605634
ML57,Do Yourself A Favor,Comeback Kid,6,10,2,6,6,0,2,0,2,6,98,138,16,24,4.3478260869565215,7.246376811594203,1.4492753623188406,4.3478260869565215,4.3478260869565215,0.0,1.4492753623188406,0.0,1.4492753623188406,4.3478260869565215,71.01449275362319,100.0,11.594202898550725,17.391304347826086
ML58,Superbeast,Rob Zombie,9,18,8,5,6,17,5,18,5,5,77,143,27,39,6.293706293706293,12.587412587412587,5.594405594405594,3.4965034965034967,4.195804195804196,11.888111888111888,3.4965034965034967,12.587412587412587,3.4965034965034967,3.4965034965034967,53.84615384615385,100.0,18.88111888111888,27.272727272727273
ML59,Why Go,Pearl Jam,8,7,1,6,1,0,5,4,0,6,84,109,15,10,7.339449541284404,6.422018348623853,0.9174311926605505,5.504587155963303,0.9174311926605505,0.0,4.587155963302752,3.669724770642202,0.0,5.504587155963303,77.06422018348624,100.0,13.761467889908257,9.174311926605505
ML61,Terrible Lie,Nine Inch Nails,38,64,58,28,58,52,35,59,6,35,177,345,102,66,11.014492753623188,18.55072463768116,16.81159420289855,8.115942028985508,16.81159420289855,15.072463768115941,10.144927536231885,17.10144927536232,1.7391304347826086,10.144927536231885,51.30434782608695,100.0,29.565217391304348,19.130434782608695
ML62,Wicked Garden,Stone Temple Pilots,16,18,3,9,1,14,16,10,0,8,35,108,34,39,14.814814814814815,16.666666666666668,2.7777777777777777,8.333333333333334,0.9259259259259259,12.962962962962964,14.814814814814815,9.25925925925926,0.0,7.407407407407407,32.407407407407405,100.0,31.48148148148148,36.111111111111114
ML66,Everything I've Known,Korn,6,15,6,5,2,7,3,11,1,1,60,116,21,35,5.172413793103448,12.931034482758621,5.172413793103448,4.310344827586207,1.7241379310344827,6.0344827586206895,2.586206896551724,9.482758620689655,0.8620689655172413,0.8620689655172413,51.724137931034484,100.0,18.103448275862068,30.17241379310345
ML67,Indestructible,Disturbed,20,37,20,10,8,30,5,13,0,13,78,167,57,32,11.976047904191617,22.15568862275449,11.976047904191617,5.9880239520958085,4.790419161676646,17.964071856287426,2.9940119760479043,7.7844311377245505,0.0,7.7844311377245505,46.706586826347305,100.0,34.131736526946106,19.161676646706585
ML68,Riot,Three Days Grace,0,33,31,18,5,29,0,1,0,0,57,119,33,29,0.0,27.73109243697479,26.050420168067227,15.126050420168067,4.201680672268908,24.369747899159663,0.0,0.8403361344537815,0.0,0.0,47.89915966386555,100.0,27.73109243697479,24.369747899159663
ML69,Free And Easy ,Dierks Bentley,3,1,0,3,0,1,2,1,1,2,70,117,4,43,2.5641025641025643,0.8547008547008547,0.0,2.5641025641025643,0.0,0.8547008547008547,1.7094017094017093,0.8547008547008547,0.8547008547008547,1.7094017094017093,59.82905982905983,100.0,3.4188034188034186,36.75213675213675
ML70,When The Sun Goes Down ,Kenny Chesney,27,1,0,30,0,0,25,1,25,25,84,157,28,45,17.197452229299362,0.6369426751592356,0.0,19.10828025477707,0.0,0.0,15.92356687898089,0.6369426751592356,15.92356687898089,15.92356687898089,53.503184713375795,100.0,17.8343949044586,28.662420382165607
ML72,Tell Me You Get Lonely,Frankie Ballard,4,16,13,3,10,13,4,13,1,0,82,130,20,28,3.076923076923077,12.307692307692308,10.0,2.3076923076923075,7.6923076923076925,10.0,3.076923076923077,10.0,0.7692307692307693,0.0,63.07692307692308,100.0,15.384615384615385,21.53846153846154
ML75,Your Man,Josh Turner,16,4,3,13,3,4,16,7,6,6,76,138,20,42,11.594202898550725,2.898550724637681,2.1739130434782608,9.420289855072463,2.1739130434782608,2.898550724637681,11.594202898550725,5.072463768115942,4.3478260869565215,4.3478260869565215,55.072463768115945,100.0,14.492753623188406,30.434782608695652
ML76,Welcome To My Nightmare,Alice Cooper,4,11,3,3,2,10,4,0,6,1,51,81,15,15,4.938271604938271,13.580246913580247,3.7037037037037037,3.7037037037037037,2.4691358024691357,12.345679012345679,4.938271604938271,0.0,7.407407407407407,1.2345679012345678,62.96296296296296,100.0,18.51851851851852,18.51851851851852
ML77,Rock And Roll,Led Zeppelin,5,20,20,32,20,20,4,20,0,2,66,140,25,49,3.5714285714285716,14.285714285714286,14.285714285714286,22.857142857142858,14.285714285714286,14.285714285714286,2.857142857142857,14.285714285714286,0.0,1.4285714285714286,47.142857142857146,100.0,17.857142857142858,35.0
ML78,I Hate Myself For Loving You,Joan Jett & The Blackhearts,17,26,18,2,17,20,17,20,6,14,85,165,43,37,10.303030303030303,15.757575757575758,10.909090909090908,1.2121212121212122,10.303030303030303,12.121212121212121,10.303030303030303,12.121212121212121,3.6363636363636362,8.484848484848484,51.515151515151516,100.0,26.060606060606062,22.424242424242426
ML83,Somebody To Love,Jefferson Airplane,31,3,2,1,2,2,29,2,1,4,61,107,34,12,28.97196261682243,2.803738317757009,1.8691588785046729,0.9345794392523364,1.8691588785046729,1.8691588785046729,27.102803738317757,1.8691588785046729,0.9345794392523364,3.7383177570093458,57.00934579439252,100.0,31.77570093457944,11.214953271028037
ML84,Bloody Well Right,Supertramp,4,17,16,2,15,16,2,17,3,2,90,120,21,9,3.3333333333333335,14.166666666666666,13.333333333333334,1.6666666666666667,12.5,13.333333333333334,1.6666666666666667,14.166666666666666,2.5,1.6666666666666667,75.0,100.0,17.5,7.5
ML85,Cat Scratch Fever,Ted Nugent,5,8,3,4,2,22,4,6,3,5,55,128,13,60,3.90625,6.25,2.34375,3.125,1.5625,17.1875,3.125,4.6875,2.34375,3.90625,42.96875,100.0,10.15625,46.875
ML86,No More Mr. Nice Guy,Alice Cooper,12,11,2,3,9,3,10,6,4,12,55,122,23,44,9.836065573770492,9.01639344262295,1.639344262295082,2.459016393442623,7.377049180327869,2.459016393442623,8.19672131147541,4.918032786885246,3.278688524590164,9.836065573770492,45.08196721311475,100.0,18.852459016393443,36.0655737704918
ML88,Let Me Take You Home Tonight,Boston,19,17,2,18,2,12,19,14,9,19,160,215,36,19,8.837209302325581,7.906976744186046,0.9302325581395349,8.372093023255815,0.9302325581395349,5.5813953488372094,8.837209302325581,6.511627906976744,4.186046511627907,8.837209302325581,74.4186046511628,100.0,16.74418604651163,8.837209302325581
ML89,Still Loving You,Scorpions,33,4,3,7,0,6,33,1,4,10,70,133,37,26,24.81203007518797,3.007518796992481,2.255639097744361,5.2631578947368425,0.0,4.511278195488722,24.81203007518797,0.7518796992481203,3.007518796992481,7.518796992481203,52.63157894736842,100.0,27.81954887218045,19.548872180451127
ML91,Don't Tell Me You Love Me,Night Ranger,32,6,3,0,1,5,30,2,0,0,100,146,38,8,21.91780821917808,4.109589041095891,2.0547945205479454,0.0,0.684931506849315,3.4246575342465753,20.54794520547945,1.36986301369863,0.0,0.0,68.4931506849315,100.0,26.027397260273972,5.47945205479452
ML92,That Smell,Lynyrd Skynyrd,16,53,36,14,46,11,2,11,8,4,79,162,69,14,9.876543209876543,32.71604938271605,22.22222222222222,8.641975308641975,28.395061728395063,6.790123456790123,1.2345679012345678,6.790123456790123,4.938271604938271,2.4691358024691357,48.76543209876543,100.0,42.592592592592595,8.641975308641975
ML93,Hit Me With Your Best Shot,Pat Benatar,4,28,25,2,0,18,0,15,12,2,54,107,32,21,3.7383177570093458,26.16822429906542,23.364485981308412,1.8691588785046729,0.0,16.822429906542055,0.0,14.018691588785046,11.214953271028037,1.8691588785046729,50.467289719626166,100.0,29.906542056074766,19.626168224299064
ML94,Paradise City,Guns N' Roses,38,13,4,24,2,6,34,5,5,33,210,324,51,63,11.728395061728396,4.012345679012346,1.2345679012345678,7.407407407407407,0.6172839506172839,1.8518518518518519,10.493827160493828,1.5432098765432098,1.5432098765432098,10.185185185185185,64.81481481481481,100.0,15.74074074074074,19.444444444444443
ML95,I've Seen All Good People,Yes,40,9,0,41,0,0,34,2,17,20,149,307,49,109,13.029315960912053,2.9315960912052117,0.0,13.355048859934854,0.0,0.0,11.074918566775244,0.6514657980456026,5.537459283387622,6.514657980456026,48.534201954397396,100.0,15.960912052117264,35.504885993485345
ML97,You Got That Right,Lynyrd Skynyrd,3,5,2,3,1,4,2,0,1,3,84,117,8,25,2.5641025641025643,4.273504273504273,1.7094017094017093,2.5641025641025643,0.8547008547008547,3.4188034188034186,1.7094017094017093,0.0,0.8547008547008547,2.5641025641025643,71.7948717948718,100.0,6.837606837606837,21.367521367521366
ML98,Feel Like Makin' Love,Bad Company,38,2,2,2,2,2,38,2,1,3,92,173,40,41,21.965317919075144,1.1560693641618498,1.1560693641618498,1.1560693641618498,1.1560693641618498,1.1560693641618498,21.965317919075144,1.1560693641618498,0.5780346820809249,1.7341040462427746,53.179190751445084,100.0,23.121387283236995,23.69942196531792
ML99,Locomotive Breath,Jethro Tull,7,3,2,7,1,3,6,2,4,3,46,96,10,40,7.291666666666667,3.125,2.0833333333333335,7.291666666666667,1.0416666666666667,3.125,6.25,2.0833333333333335,4.166666666666667,3.125,47.916666666666664,100.0,10.416666666666666,41.666666666666664
ML100,Can't Get Enough,Bad Company,9,1,0,0,0,0,9,1,1,0,53,67,10,4,13.432835820895523,1.492537313432836,0.0,0.0,0.0,0.0,13.432835820895523,1.492537313432836,1.492537313432836,0.0,79.1044776119403,100.0,14.925373134328359,5.970149253731344
ML101,Love Reign O'er Me,The Who,19,3,1,2,0,2,14,2,0,2,22,85,22,41,22.352941176470587,3.5294117647058822,1.1764705882352942,2.3529411764705883,0.0,2.3529411764705883,16.470588235294116,2.3529411764705883,0.0,2.3529411764705883,25.88235294117647,100.0,25.88235294117647,48.23529411764706
ML102,In The Dark,Billy Squier,7,6,2,0,3,7,2,23,5,6,42,113,13,58,6.1946902654867255,5.3097345132743365,1.7699115044247788,0.0,2.6548672566371683,6.1946902654867255,1.7699115044247788,20.353982300884955,4.424778761061947,5.3097345132743365,37.16814159292036,100.0,11.504424778761061,51.32743362831859
ML104,Runnin' With The Devil,Van Halen,11,13,11,15,10,14,9,13,0,6,105,145,24,16,7.586206896551724,8.96551724137931,7.586206896551724,10.344827586206897,6.896551724137931,9.655172413793103,6.206896551724138,8.96551724137931,0.0,4.137931034482759,72.41379310344827,100.0,16.551724137931036,11.03448275862069
ML105,Fame,David Bowie,46,8,4,2,1,5,0,3,0,0,38,108,54,16,42.592592592592595,7.407407407407407,3.7037037037037037,1.8518518518518519,0.9259259259259259,4.62962962962963,0.0,2.7777777777777777,0.0,0.0,35.18518518518518,100.0,50.0,14.814814814814815
ML106,Undercover Lover,Three Plus,11,3,1,5,0,3,9,3,4,9,49,82,14,19,13.414634146341463,3.658536585365854,1.2195121951219512,6.097560975609756,0.0,3.658536585365854,10.975609756097562,3.658536585365854,4.878048780487805,10.975609756097562,59.75609756097561,100.0,17.073170731707318,23.170731707317074
ML107,Honey Baby,Three Plus,59,0,1,6,1,0,31,1,3,6,53,139,59,27,42.44604316546763,0.0,0.7194244604316546,4.316546762589928,0.7194244604316546,0.0,22.302158273381295,0.7194244604316546,2.158273381294964,4.316546762589928,38.1294964028777,100.0,42.44604316546763,19.424460431654676
ML108,Two Person Party,Three Plus,9,3,2,7,1,3,7,3,2,5,49,86,12,25,10.465116279069768,3.488372093023256,2.3255813953488373,8.13953488372093,1.1627906976744187,3.488372093023256,8.13953488372093,3.488372093023256,2.3255813953488373,5.813953488372093,56.97674418604651,100.0,13.953488372093023,29.069767441860463
ML109,Easy Skanking,Bob Marley & The Wailers,5,3,0,2,1,2,2,0,0,3,129,206,8,69,2.4271844660194173,1.4563106796116505,0.0,0.970873786407767,0.4854368932038835,0.970873786407767,0.970873786407767,0.0,0.0,1.4563106796116505,62.62135922330097,100.0,3.883495145631068,33.49514563106796
ML110,Private Beach Party,Gregory Isaacs,10,3,2,5,1,0,24,2,0,4,81,170,13,76,5.882352941176471,1.7647058823529411,1.1764705882352942,2.9411764705882355,0.5882352941176471,0.0,14.117647058823529,1.1764705882352942,0.0,2.3529411764705883,47.64705882352941,100.0,7.647058823529412,44.705882352941174
ML111,Anything You Want,Fiji,13,3,0,11,0,3,9,4,3,6,66,117,16,35,11.11111111111111,2.5641025641025643,0.0,9.401709401709402,0.0,2.5641025641025643,7.6923076923076925,3.4188034188034186,2.5641025641025643,5.128205128205129,56.41025641025641,100.0,13.675213675213675,29.914529914529915
ML112,Hell Fire,Ooklah The Moc,6,22,18,4,18,44,3,20,0,0,71,151,28,52,3.9735099337748343,14.56953642384106,11.920529801324504,2.6490066225165565,11.920529801324504,29.13907284768212,1.9867549668874172,13.245033112582782,0.0,0.0,47.019867549668874,100.0,18.543046357615893,34.437086092715234
ML113,Angel ,Shaggy,62,14,8,33,7,9,56,9,28,48,161,299,76,62,20.735785953177256,4.682274247491639,2.6755852842809364,11.036789297658864,2.3411371237458196,3.0100334448160537,18.729096989966557,3.0100334448160537,9.364548494983278,16.05351170568562,53.84615384615385,100.0,25.418060200668897,20.735785953177256
ML114,I'm Still In Love With You ,Sean Paul,62,21,7,19,5,4,59,11,7,12,212,353,83,58,17.56373937677054,5.949008498583569,1.9830028328611897,5.38243626062323,1.4164305949008498,1.13314447592068,16.71388101983003,3.1161473087818696,1.9830028328611897,3.3994334277620397,60.05665722379604,100.0,23.51274787535411,16.430594900849858
ML115,Good Vibrations,The Beach Boys,64,1,16,50,0,16,54,0,51,38,127,223,65,31,28.699551569506728,0.4484304932735426,7.174887892376682,22.42152466367713,0.0,7.174887892376682,24.2152466367713,0.0,22.869955156950674,17.04035874439462,56.95067264573991,100.0,29.14798206278027,13.90134529147982
ML116,Still The One,Orleans,13,1,2,8,1,1,11,1,2,1,121,156,14,21,8.333333333333334,0.6410256410256411,1.2820512820512822,5.128205128205129,0.6410256410256411,0.6410256410256411,7.051282051282051,0.6410256410256411,1.2820512820512822,0.6410256410256411,77.56410256410257,100.0,8.974358974358974,13.461538461538462
ML117,Every Time I Think Of You,The Babys,41,8,0,34,0,1,35,2,4,10,93,183,49,41,22.404371584699454,4.371584699453552,0.0,18.579234972677597,0.0,0.546448087431694,19.12568306010929,1.092896174863388,2.185792349726776,5.46448087431694,50.81967213114754,100.0,26.775956284153004,22.404371584699454
ML118,The One I Love,R.E.M.,11,0,0,3,0,8,6,0,0,0,53,81,11,17,13.580246913580247,0.0,0.0,3.7037037037037037,0.0,9.876543209876543,7.407407407407407,0.0,0.0,0.0,65.4320987654321,100.0,13.580246913580247,20.987654320987655
