Index,Artist,Title,Mood,Lyrics
Para ser sincero haria lo mismo
Solo que si estoy sin ti
Lo haria sin esconderme
Lo haria sin esconderme..."

ML854,Marty Robbins,Big Iron,neg,"To the town of Agua Fria rode a stranger one fine day
Hardly spoke to folks around him didn't have too much to say
No one dared to ask his business no one dared to make a slip
For the stranger there among them had a big iron on his hip
Big iron on his hip

It was early in the morning when he rode into the town
He came riding from the south side slowly lookin' all around
He's an outlaw loose and running came the whisper from each lip
And he's here to do some business with the big iron on his hip
Big iron on his hip

In this town there lived an outlaw by the name of Texas Red
Many men had tried to take him and that many men were dead
He was vicious and a killer though a youth of twenty four
And the notches on his pistol numbered one and nineteen more
One and nineteen more

Now the stranger started talking made it plain to folks around
Was an Arizona ranger wouldn't be too long in town
He came here to take an outlaw back alive or maybe dead
And he said it didn't matter he was after Texas Red
After Texas Red

Wasn't long before the story was relayed to Texas Red
But the outlaw didn't worry men that tried before were dead
Twenty men had tried to take him twenty men had made a slip
Twenty one would be the ranger with the big iron on his hip
Big iron on his hip

The morning passed so quickly it was time for them to meet
It was twenty past eleven when they walked out in the street
Folks were watching from the windows every-body held their breath
They knew this handsome ranger was about to meet his death
About to meet his death

There was forty feet between them when they stopped to make their play
And the swiftness of the ranger is still talked about today
Texas Red had not cleared leather 'fore a bullet fairly ripped
And the ranger's aim was deadly with the big iron on his hip
Big iron on his hip

It was over in a moment and the folks had gathered round
There before them lay the body of the outlaw on the ground
Oh he might have went on living but he made one fatal slip
When he tried to match the ranger with the big iron on his hip
Big iron on his hip

Big iron Big iron

When he tried to match the ranger with the big iron on his hip"

ML855,Faron Young,Hello Walls,neg,"Hello walls (hello hello) how things go for you today
Don't you miss her since she upped and walked away
And I'll bet you dread to spend another lonely night with me
But lonely walls I'll keep you company.

Hello window (hello hello) well I see that you're still here
Aren't you lonely since our darling disappeared
Well look here is that a teardrop in the corner of your pane
Now don't you try to tell me that it's rain.

She went away and left us all alone the way she planned
Yes, we'll have to learn to get along without her if we can
Hello ceiling (hello hello) I'm gonna stare at you a while
You know I can't sleep so won't you bear with me awhile.

We must all stick together or else I'll lose my mind
I've got a feeling she'll be gone a long, long time.
(Hello, hello)..."

ML858,The Red Hot Chili Peppers,Fortune Faded,neg,"They say, in chess you've got to kill the queen and then you made it 
Oh, I do you
A funny thing, the king who gets himself assassinated 
Hey now, every time I lose altitude 

You took a town by storm, the mess you made was nominated 
Oh, I do you
Now, put away your welcome, soon you'll find you've over stayed it 
Hey now, every time I lose altitude 

So divine, hell of an elevator
All the while my fortune faded 
Never mind the consequences of the crime
This time my fortune's faded 

The medicated state of mind you've found is over-rated 
Oh, I do you
You saw it all come down and now its time to imitate it 
Hey now, every time I lose altitude 

So divine, hell of an elevator
All the while my fortune faded 
Never mind the consequences of the crime
This time my fortune's faded 

Come on God, do I seem bullet proof... 

So divine, hell of an elevator
All the while my fortune faded 
Never mind the consequences of the crime
This time my fortune's faded 

So divine, hell of an elevator
All the while my fortune faded 
Never mind the consequences of the crime
This time my fortune's faded"

ML859,Taddy Porter,Shake Me,neg,"All right
Now you say that you've met my kind before
Uh-huh uh-huh
Now excuse me if I'm dying for a little more
Uh-huh uh-huh
Now baby, what you do, what you do to me
I know, that you will, and girl

Sh-sh-shake me, you know she can shake it
B-b-break me, you know she can take it
I know, yeah, I like the way she moves
When she shakes me, when she shakes me
Slow, slow down, slow, slow down

Now who do you think you're talkin' to
Uh-huh uh-huh
Baby now you're sayin' you want me too
Uh-huh uh-huh
First you gotta show me what you can do
And I know, that you will
All right

Sh-sh-shake me, you know she can shake it
B-b-break me, you know she can take it
I know, yeah, I like the way she moves
When she shakes me, when she shakes me
Slow, slow down, slow, slow down

I know it's all right, it's all all right
You can say that it's all right
I know it's all right, it's all all right, yeah

I need to see her move again
So tell me what to do
Yeah, yeah, yeah
It's all all right
Yeah, yeah, yeah
She all right, she's all all right
Yeah!

Sh-sh-shake me, you know she can shake it
B-b-break me, you know she can take it
I know, yeah, I like the way she moves
When she shakes me, yeah

Sh-sh-shake me, you know she can shake it
B-b-break me, you know she can take it
I know, yeah, I like the way she moves
When she shakes me, when she shakes me

Slow, slow down, slow, slow down
Slow, slow down, slow, slow..."

ML860,Rob Zombie,Sick Bubble-Gum,neg,"Hey, we all know how we're gonna die, baby
We're gonna crash and burn, burn, burn, burn, burn...

Mechanized head and a god named Zed
I keep telling you it's all right
A parallax view that you can't unscrew
When it all just gets so tight

Rock, motherfucker
Rock the motherfucker
Rock, motherfucker, yeah
Rock, motherfucker
Rock the motherfucker
Rock, motherfucker, yeah

Chew it up - spit it out
Sick bubblegum
Blow it up - stick it out
Sick bubblegum
Tear it up - push it down
Sick bubblegum
Shove it in - rip it out
Sick bubblegum

A fireproof stick and I ain't so quick
I just make you think I am
Black numb days and a model hather
Brand new illusion scare

Rock, motherfucker
Rock the motherfucker
Rock, motherfucker, yeah

Chew it up - spit it out
Sick bubblegum
Blow it up - stick it out
Sick bubblegum
Tear it up - push it down
Sick bubblegum
Shove it in - rip it out
Sick bubblegum

Remember the coop when you hit the loop
A new god in Hollywood
Diamond daze and your locust plays
You wouldn't make it if you could

Rock, motherfucker
Rock the motherfucker
Rock, motherfucker, yeah

Chew it up - spit it out
Sick bubblegum
Blow it up - stick it out
Sick bubblegum
Tear it up - push it down
Sick bubblegum
Shove it in - rip it out
Sick bubblegum"

ML861,Egypt Central,You Make Me Sick,neg,"I used to think that this was perfect
And wish that it was never ending
But those days are gone forever
It's something I'm not missing
There's a force there's a voice, in my head
Telling me to think
About the times that you were cruel and mean
And I don't care if you walk away
I'm here to stay and you need to hear

You make me sick!
But I love what we're doing here
You make me sick!
And I can't be the only one

You make me sick!
But I love what we're doing here
You make me sick!
And I can't be the only one

I have to take advantage, before the moment passes by
It's so hard to manage, the ups and downs of your life
Someone help, someone speak, before I start to scream out
Anything to break the silence
You're holding me back, confined by doubt

You make me sick!
But I love what we're doing here
You make me sick!
And I can't be the only one

You make me sick!
But I love what we're doing here
You make me sick!
And I can't be the only one

'Cause I need you
'Cause I need you here with me
When it falls through
And I'm down upon my knees

There's a force
There's a voice in my head
Telling me to think about everything
Last time I believed
Now I realize!

You make me sick!
But I love what we're doing here
You make me sick!
And I can't be the only one

You make me sick!
But I love what we're doing here
You make me sick!
And I can't be the only one

Sick! Sick! Sick! Sick!
You make me sick!
You make me sick!
You make me sick!
You make me sick!
You make me sick!
You make me sick!
You make me sick!"

ML863,Skindred,Pressure,neg,"Buzzing up with a musical attack
Rip it up with a boom sound we no lack
Got the rhythms the dub plate killa tracks
Annihilate and destroy them we do that
Letting them know that ah we come fe rock and control again
Oh, oh well
Setting the pace in the place - volume up, driving them insane
Oh das right

Turn your system down
You know the weak can't take it
Burn it to the ground
Watch how it shatters and they break it

(Pressure) stress it jusa drive them underground
(Pressure) cannot take the music killa sound
(Pressure) we will turn it up but never down
(Pressure) stress it just drive them underground
(Pressure) cannot take the music killa sound
(Pressure) we will turn it up but never down

Pressure
Pressure
Pressure

Annoying neighbors are banging on your door
Saying that they can't take your noise no more
Your bass is right in their face sounds murder raw
But we ain't turning it off so call the law
Let them all know that the rockers is hard and is here to stay
Oh, oh well
Tell to move from your step and back off and just go away
Oh das right

Turn your system down
You know the weak can't take it
Burn it to the ground
Watch how it shatters and they break it

(Pressure) stress it jusa drive them underground
(Pressure) cannot take the music killa sound
(Pressure) we will turn it up but never down
(Pressure) stress it just drive them underground
(Pressure) cannot take the music killa sound
(Pressure) we will turn it up but never down

Pressure
Pressure
Pressure

Pressure - temperature rise turn up the heat no feel the pressure
Hold uno head an feel the pain from the pressure
Cannot take the noise 'cause ah we bring the pressure
No bodder tell we turn the music down hold the pressure

Uno got to, got to, got to, got to, got to hold the pressure
Uno got to, got to, got to, got to, got to hold the pressure
Uno got to, got to, got to, got to, got to hold the pressure
Uno got to, got to, got to, got to, got to hold the

Stress it jusa drive them underground
Cannot take the music killa sound
(Pressure) we will turn it up but never down
(Pressure) stress it just drive them underground
(Pressure) cannot take the music killa sound
(Pressure) we will turn it up but never down

Pressure
Pressure
Pressure"

ML867,My Morning Jacket,Circuital,neg,"Spinning out, gracefully
Going nowhere, quickly
I'm older, day by day
But still going back to my childhood way

Circuital
Round and round patiently
Getting lost by the guide
And I'm all worked up over nothing

Circuits
All in and out
Connect my body
Deep into the ground

Circuits
Connect the earth to the moon
And link our heavenly bodies
And not a moment too soon

Well you can fling open the windows
Or you can board them up
Satan's jeweled crown
Or Christ's humble cup

You think you'll find yourself out there

Out in the lion's den
In some bloody battle
Over belief systems

Or disappear into the vacuum
Total neutrality
Where you can't lose nothing
But nothing can be gained

Well anyway you cut it
We're just spinning around
Out on the circuits
Over the hallowed grounds
Out on the circuits
Over the hallowed grounds
Ending up in the same place
That we started out
Right back in the same place
Right back in the same place
That we starting out

Let her know"

ML868,The Beatles,Yer Blues,neg,"(Two, three)

Yes, I'm lonely
Wanna die
Yes, I'm lonely
Wanna die
If I ain't dead already, whoo
Girl, you know the reason why

In the morning
Wanna die
In the evening
Wanna die
If I ain't dead already, whoo
Girl, you know the reason why

My mother was of the sky
My father was of the Earth
But I am of the Universe
And you know what it's worth
I'm lonely
Wanna die
If I ain't dead already, whoo
Girl, you know the reason why

The eagle picks my eyes
The worm he licks my bone
Feel so suicidal 
Just like Dylan's Mr. Jone
Lonely
Wanna die 
If I ain't dead already, whoo
Girl, you know the reason why

The black cloud crossed my mind 
Blue mist 'round my soul 
Feel so suicidal 
Even hate my rock and roll
Wanna die 
Yeah, wanna die 
If I ain't dead already, whoo
Girl, you know the reason why

(Turn it up)

Yes, I'm lonely
Wanna die
Yes, I'm lonely
Wanna die
If I ain't dead already, whoo
Girl, you know the reason why

In the morning
Wanna die
In the evening"

ML869,George Harrison,Isn't It A Pity,neg,"Isn't it a pity, isn't it a shame?
How we break each other's hearts
And cause each other pain
How we take each other's love
Without thinking anymore
Forgetting to give back
Isn't it a pity?

Some things take so long
But how do I explain?
When not too many people
Can see we're all the same?

And because of all their tears
Their eyes can't hope to see
The beauty that surrounds them
Now, isn't it a pity?


Isn't it a pity, oh, isn't it a shame?
How we break each other's hearts
And cause each other pain
How we take each other's love
Without thinking anymore
Forgetting to give back
Now, isn't it a pity?"

ML873,Pat Benatar,Fire And Ice,neg,"Ooh, you're giving me the fever tonight
I don't wanna give in, I'd be playing with fire
You forget, I've seen you work before
Take 'em straight to the top, leave 'em crying for more
I've seen you burn 'em before

Fire and ice 
You come on like a flame, then you turn a cold shoulder
Fire and ice 
I wanna give you my love, but you'll just take a little piece of my heart
You'll just tear it apart

Moving in for the kill tonight
You got every advantage when they put out the lights
It's not so pretty when it fades away
'Cause it's just an illusion in this passion play
I've seen you burn 'em before

Fire and ice 
You come on like a flame, then you turn a cold shoulder
Fire and ice 
I wanna give you my love, but you'll just take a little piece of my heart

So you think you got it all figured out
You're an expert in the field, without a doubt
But I know your methods inside and out
And I won't be taken in by fire and ice

Fire and ice 
You come on like a flame, then you turn a cold shoulder
Fire and ice 
I wanna give you my love, but you'll just take a little piece of my heart

You come on like a flame, then you turn a cold shoulder
Fire and ice
I wanna give you my love, but you'll just take a little piece of my heart

You come on like a flame, then you turn a cold shoulder
Fire and ice 
You come on like a flame, then you turn a cold shoulder
Fire and ice"

ML877,Toots & The Maytals,Pressure Drop,neg,"Hmm hmm hmm, yeah
Hmm hmm hmm, yeah
Hmm hmm hmm, yeah
It is you (oh yeah)
It is you, you (oh yeah)
It is you (oh yeah)

Cause a pressure drop, oh pressure
Oh yeah pressure drop a drop on you
I say a pressure drop, oh pressure
Oh yeah pressure drop, a drop on you

I say when it drops, oh you gonna feel it
Know that you were doing wrong
I say when it drops, oh you gonna feel it
Know that you were doing wrong

Hmm hmm hmm, yeah
Hmm hmm hmm, yeah
Hmm hmm hmm, yeah

I say a pressure drop, oh pressure
Oh yeah, pressure drop, a drop on you
I say a pressure drop, oh pressure
Oh yeah, pressure drop, a drop on you

It is you (oh yeah)
It is you, you (oh yeah)
It is you (oh yeah)
It is you (oh yeah)

I say a pressure drop, oh pressure
Oh yeah, pressure drop, a drop on you
I say a pressure drop, oh pressure
Oh yeah, pressure drop, a drop on you

I say when it drops, oh you gonna feel it
Pressure, pressure, pressure, pressure
Pressure drop, oh pressure, pressure, pressure, pressure
I say a pressure drop, oh pressure
(Pressure, pressure, pressure, pressure
Oh yeah, pressure drop, a drop on you)"

ML878,James Blake,Lindisfarne I,neg,"Kestrel's breed
Looking further than I can see
Without tact to read
She'd take a shine to me

Beacon, don't fly too high
Beacon, don't fly too high

For all your time, playful crime in rain
Worth it being cold, roofing for the lanes
A lesson lost again
Lesson lost again

Keep haunting the bus with fees of favors gone
Cracks and sailors fast and await the sun to show
Won't tomorrow come?
Won't tomorrow come?

Kestrel's breed
Looking further than I can see
Without tact to read
She'd take a shine to me

Beacon, don't fly too high
Beacon, don't fly too high"

ML879,Dan Deacon,Wet Wings,neg,"The day is past and gone
The hour of death is near"

ML881,Foster The People,Warrant,neg,"Well, I've been judged
I've been a bug unknown
I know all about it 
But my heart is strong

I've been away 
Been running to save my head
Yeah, the warrant's out 
And I'm almost there
No one's said what I've already said

Got to get away
Yeah, the warrant's on my head
Got to get away
They want me alive or dead 

Got to get away
Yeah, the warrant's on my head
Got to get away
'Cause they want me alive or dead

I've thought a lot about the way that they fight
Come through the phone lines, not man enough to face me
I can stop or argue about what they say
Yeah, the warrant's out and I'm gonna pay
I said what I'm gonna say

Got to get away
Yeah, the warrant's on my head
Got to get away
They want me alive or dead 

Got to get away
Yeah, the warrant's on my head
Got to get away
'Cause they want me alive or dead 

Fear is like a fake friend
It warms you up and takes you in
You mouth the words but no sound comes out
And fear is like your best friend
Manipulates and takes you in
You mouth the words
No sound again

But you don't know better
Don't know better

Got to get away
Yeah, the warrant's on my head
Got to get away
They want me alive or dead 

Got to get away
Yeah, the warrant's on my head
Got to get away
'Cause they want me alive or dead 

Got to get away
Yeah, the warrant's on my head
Got to get away
They want me alive or dead 

Got to get away
Yeah, the warrant's on my head
Got to get away
'Cause they want me alive or dead"

ML883,Bill Callahan,Sycamore,neg,"There's sap in the trees if you tap 'em

There's blood on the seas if you map 'em

Christian, if you see your poppa

Tell him I love him

He taught me to love in the wild and

Fight in the gym



He taught me the bottle gives birth to the cup

And you won't get hurt if you just

Keep your hands up

And stand tall

Like sycamores



Sycamore got to grow down to grow up

Young girl told the soul like baby's first cup

And when they bend you in two 

And say too green for the fire

When all you want to do is be a part of the fire

All you want to do is be the fire part of fire

Like sycamores



There's sap in the trees if you tap 'em

There's blood on the seas if you map 'em

Christian when I see your poppa

I'll tell him you love him

And remember to love in the wild and

Fight in the gym

Remember the bottle gives birth to the cup

And you won't get hurt if you just 

Keep your hands up

And stand tall

Like sycamores"

ML886,Slayer,Cult,neg,"Oppression is the holy law
In god I distrust
In time his monuments will fall
Like ashes to dust
Is war and greed the master plan?
The bible's where it all began
Its propaganda sells despair
And spreads the virus everywhere

Religion is hate
Religion is fear
Religion is war

Religion is rape
Religion's obscene
Religion's a whore

The pestilence is Jesus Christ
There never was a sacrifice
No man upon the crucifix
Beware the cult of purity
Infectious imbecility
I've made my choice
Six six six

(Solo - Hanneman)

Corruption breeds the pedophiles
Don't pray for the priest
Confession finds the lonely child
God preys on the weak
You think your soul needs to be saved
I think you're fucking miles away
Scream out loud here's where you begin
Forgive me father, for I have sinned

Religion is hate
Religion is fear
Religion is war

Religion is rape
Religion's obscene
Religion's a whore

The target's fucking Jesus Christ
I would've lead the sacrifice
And nailed him to the crucifix
Beware the cult of purity
Infectious imbecility
I've made my choice
Six six six

Jesus is pain
Jesus is gore
Jesus is the blood
That's spilled in war

He's everything
He's all things dead
He's pulling on the trigger
Pointed at your head

Through fear you're sold into the fraud
Revelation, revolution
I see through your Christ illusion

(Solo - King)

The war terror just drags along
My war with god is going strong
His propaganda sells despair
And spreads the violence everywhere

Religion is hate
Religion is fear
Religion is war

Religion is rape
Religion's obscene
Religion's a whore

There is no fucking Jesus Christ
There never was a sacrifice
No man upon a crucifix
Beware the cult of purity
Infectious imbecility
I've made my choice
Six six six

(Solo - Hanneman)"

ML887,Dirge Within,Self Medicate,neg,"I am diseased
Can't take the pain
I'd rather die than be alive
Inside of the sobriety

Fuel the fire with the weed and the pills and the booze that will set me free
Throw it away, throw it away
This is my new reckoning
Now here me scream

The suffering
It burns like gasoline
So I self medicate the pain
To escape this world of shame
Obscurity leads to severity
So I self medicate the pain
To escape this world I hate
I self medicate

I am dizzy
From suffocating on the lies you feed
Deny deny your hope of sanity

Fuel the fire with the weed and the pills and the booze that will set me free
Throw me away, blow me away, throw me away
This is my new reckoning
Now here me scream

The suffering
It burns like gasoline
So I self medicate the pain
To escape this world of shame
Obscurity leads to severity
So I self medicate the pain
To escape this world I hate
I self medicate

Standing above myself and watching a part of me die
I see it all just starting to fade away
Though it's true I've always wondered
How I would say goodbye to myself

So now I fall again
And I can not pretend
There is no resurrection
So now I fall again
Now hear me scream

I am diseased
Can't take the pain I'd rather die than be alive
Inside of the sobriety
Fuel the fire with the weed and the pills and the booze that will set me free
Throw it away, throw it away, throw it away

The suffering
It burns like gasoline
So I self medicate the pain
To escape this world of shame
Obscurity leads to severity
So I self medicate the pain
To escape this world I hate
I self medicate"

ML888,Atreyu,Ex's And Oh's,neg,"You took me home
I drank too much
Because of you, my liver turned to dust
Cold rust taste a cruel creeping cold pain
Do you understand what I mean?
When you feel your soul drop to the floor
Like a hole, like an open bleeding sore
Then you'll have bled like I've bled
Then you'll have wept as I've wept!

Suck me down, it's time to rock and roll
Let's hit the bar, let's lose control
One false move; you took me home
One false move; you're all alone

But it looks so good, and it feels so nice
I paid the price
I'll cut you out, just to hear you scream
Get away from, get away from me
And I can feel my heartbeat racing
As I realize what I must do
Get away from, get away from, get away from you.

I should have turned and ran like hell
Last time I got a taste of you
I should have turned and ran like hell
And I'll say we're through
I should have turned and ran like hell
The Last time I got a taste of you
I should say we're through

You fell upon me like a plague
Weakness (sweet weakness)
But I digress
After all this, you're just like all the rest

Suck me down, it's time to rock and roll
Let's hit the bar, let's loose control
One false move; you took me home
One false move; you're all alone"

ML893,Adelitas Way,Sick,neg,"I'm so sick of me, being sick of you,
And the way you look, all the things you do,
You drive me crazy, drive me crazy
Sick of being broke, can't pay the rent
I'm about to snap, I can't handle this
I'm doing crazy, doing crazy (going crazy)

If you're sick like me
There's no stopping now,
Try to break it up
And just let it out
If I was sick like you,
I would feed the fire
I would light it up
And watch it all drop down

I'm so sick of my life
It's the same old trip,
Try to make it bend,
But it never gives
Look what you made me (what you made me)
Well I hate my boss,
He's a little bitch
If he keeps it up,
I'll make him quit
Or I'll go crazy
I'm going crazy

If you're sick like me
There's no stopping now,

Try to break it up
And just let it out
If I was sick like you,
I would feed the fire
I would light it up
And watch it all drop down
(And watch it all drop down)

I'm so sick of me, being sick of you,
And the way you look, all the things you do,
You drive me crazy, drive me crazy
Yeah!

If you're sick like me
There's no stopping now,
Try to break it up
And just let it out
If I was sick like you,
I would feed the fire
I would light it up
And watch it all drop down

(If you're sick like me,
There's no stopping now
There's no stopping now
Watch it all drop down
If you're sick like me
Then you're sick like me)"

ML895,Red,Feed The Machine,neg,"Lie

Turn around, they might be watching
And you never disappoint them
Hide your innocence before they see right through
You mustn't disappoint them

You need the danger just to feel your heart beat
You need to die just to find your identity
You need the knife just to know that you can bleed
You need the pain now just to feel anything

We fall in line, we live the lie
Give up, give up and feed the machine
It grows inside, nowhere to hide
Give up, give up and feed the machine
Give up, give up and feed the machine

They pull you faster, the cadence calling
And you never fall behind
So choose a face, you're only crawling now
You mustn't fall behind

You need another death just to have a life to save
You need a master just so you can beg
You need a light just because you're so afraid
Now bow and learn to be a good slave

We fall in line, we live the lie
Give up, give up and feed the machine
It grows inside, nowhere to hide
Give up, give up and feed the machine
Give up, give up and feed the machine

Sleep, shh
Shh, go back to sleep
Go back to sleep

Wake up, wake up
Wake up, wake up

We fall in line, we live the lie
Give up, give up and feed the machine
It grows inside, nowhere to hide
Wake up, wake up and kill the machine
(Wake up, wake up and kill the machine)
Wake up, wake up and kill the machine
(Wake up, wake up and kill the machine)"

ML896,Metallica,Metal Militia,neg,"Thunder and lightning, the gods take revenge
Senseless destruction
Victims of fury are cowardly now
Running for safety
Stabbing the harlot to pay for her sins
Leaving the virgin
Suicide running as if it were free
Ripping and tearing

Oh through the mist and the madness
We are trying to get the message to you

Metal militia
Metal militia
Metal militia

Chained and shadowed to be left behind
Nine and one thousand
Metal militia for your sacrifice
Iron clad soldiers
Join or be conquered the law of the land
What will befall you
The metalization of your inner soul
Twisting and turning

Oh through the mist and the madness
We are trying to get the message to you

Metal militia
Metal militia
Metal militia

We are as one as we all are the same
Fighting for one cause
Leather and metal are our uniforms
Protecting what we are
Joining together to take on the world
With our heavy metal
Spreading the message to everyone here
Come let yourself go

Oh through the mist and the madness
We are trying to get the message to you

Metal militia
Metal militia
Metal militia
Metal militia
Metal militia
Metal militia
Metal militia
Metal militia
Metal militia
Metal militia"

ML897,Cold,Wicked World,neg,"There's blood on the gun
That's in your hand
And the murder in front of you
Send out the wolves
The King is dead
Little pills taking over

This means war
Did the sun just burn out
Leaving you all alone

Living in a wicked world
We're living in a wicked world
There's no way you will escape
No one ever gets away

Love was the fuel
That drove your sin
When the Majesty followed you
The witches dance
The night begins
And the heart's taking over

The Royalty won't wash away
It's his scent that's inside of you
Off with her head
The Queen, she screams
Little pills taking over

This means war
Did the sun just burn out
Leaving you all alone

Living in a wicked world
We're living in a wicked world
There's no way you will escape
No one ever gets away

Living in a wicked world
We're living in a wicked world
It's a wicked world
Will someone save me
Save me

Somebody save me
Somebody save me"

ML898,Anthrax,Among The Living,neg,"Disease, disease
Spreading the disease
With some help from Captain Trips
He'll bring the world down to his knees
Power, yes, power 
Show them all his power
It pulses through his ice-cold blood
The whole world to devour

He's seeing, he's calling
His legacy is spawning
He's coming, corrupting
Among the living

Murder, murder
Commit cold-blooded murder
Like Nazis during World War II
They only follow orders
Hatred, hatred
A crucifix is your bed
Once he turns his eyes on you
You'll be better off dead

He's seeing, he's calling
His legacy is spawning
He's coming, corrupting 
Among the living

I'm the walkin' dude
I can see all the world
Twist your minds with fear
I'm the man with the power
Among the living
Follow me or die

Man fights Man
Divided they can't stand
United they can battle back
And make him force his hand
Fear, yes, fear
His end is growing near
He didn't count on Man's good faith
And their will to persevere

He's seeing, he's calling
His legacy is spawning
He's coming, corrupting
Among the living

I'm the walkin' dude
I can see all the world
Twist your minds with fear
I'm the man with the power
Among the living
Follow me or die, oh!

Oh, fire, hot fire
Purge the world with fire
Damnation is the price he'll pay
For an evil man's desire
Good vs. Evil
The stand to vanquish evil
Man can only live one way
That place right in the middle

He's seeing, he's calling
His legacy is spawning
He's coming, corrupting
Among the living

I'm the walkin' dude
I can see all the world
Twist your minds with fear
I'm the man with the power
Among the living
Follow me or die

Among, among, among, among
Among, among, among, among
Among, among, among, among
Among, among, among, among"

ML899,Blackguard,Firefight,neg,"Oh, how is it we are cursed and reduced to this pandemonium?
Screams of the beings through the ash that I can see
Now do I beg the question, question the aggression
Of the suffering to be?
Why the single spark that made the flame that set this blaze

A blaze a blaze to quell our light and ignite the sky

The flames that hold us
Are the same that hold the night
This was meant to choke the light
'Cause this is a fire this is a firefight

No remorse or regret
Ravenous contempt for the lives now spent
Now kiss the blaze and cry
This is a fire this is a firefight

The flames that hold us
Are the same that hold the night
This was meant to choke the light
'Cause this is a fire this is a firefight

No remorse or regret
Ravenous contempt for the lives now spent
Now kiss the blaze and cry
This is a fire this is a firefight

The plume of black ash so gently caresses the sky
To the world I knew I say goodbye there are no more questions now
The lashes of flickering pain incandescent luminescent
As the brightest day, I feel my spirit slipping away

The flames that hold us
Are the same that hold the night

This was meant to choke the light
'Cause this is a fire this is a firefight
No remorse or regret

Ravenous contempt for the lives now spent
Now kiss the blaze and cry
This is a fire this is a firefight

No mercy shown or debt was owed for what I cannot dream
The reason for this wrath bestowed by flame beyond the sea
Tonight I've heard the cry and swear by all I've seen
That vengeance will one day be mine satisfaction will I breathe

Have you seen your who world build from ash to ashes return

The flames that hold us
Are the same that hold the night
This was meant to choke the light
'Cause this is a fire this is a firefight

No remorse or regret
Ravenous contempt for the lives now spent
Now kiss the blaze and cry
This is a fire this is a firefight

The flames that hold us
Are the same that hold the night
This was meant to choke the light
'Cause this is a fire this is a firefight

No remorse or regret
Ravenous contempt for the lives now spent
Now kiss the blaze and cry
This is a fire this is a firefight"

ML900,Katy Perry,E.T. ,neg,"You're so hypnotizing
Could you be the devil?
Could you be an angel?
Your touch: magnetizing
Feels like I am floating
Leaves my body glowing

They say be afraid
You're not like the others
Futuristic lover
Different DNA
They don't understand you

You're from a whole nother world
A different dimension
You open my eyes
And I'm ready to go
Lead me into the light

Kiss me, ki-ki-kiss me
Infect me with your love and
Fill me with your poison
Take me, ta-ta-take me
Wanna be your victim
Ready for abduction

Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial

You're so supersonic
Wanna feel your power
Stun me with your laser
Your kiss is cosmic
Every move is magic

You're from a whole nother world
A different dimension
You open my eyes
And I'm ready to go
Lead me into the light

Kiss me, ki-ki-kiss me
Infect me with your love and
Fill me with your poison
Take me, ta-ta-take me
Wanna be your victim
Ready for abduction

Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial

This is transcendental
On another level
Boy, you're my lucky star
I wanna walk on your wavelength
And be there when you vibrate
For you I'll risk it all

Kiss me, ki-ki-kiss me
Infect me with your love and
Fill me with your poison
Take me, ta-ta-take me
Wanna be your victim
Ready for abduction

Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial

Extraterrestrial
Extraterrestrial

Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial"

ML902,Kid Rock,Collide ,neg,"You're no angel, I'm no saint, if we were
We wouldn't be in this place tonight

Lost and lonely, scared and confused
We both have a past, nothing to lose, tonight
Well it cuts like a knife these bad luck blues
We both got scars from the hell we been through
Somebody's gotta win, somebody's gotta lose

So let's roll the dice, one more time
Take a chance on love again tonight
Risk it all, lay it on the line
Let the skeletons fight for life
Tonight, hold on tight, as we collide

Reconnected, feelin' no pain
Seeking shelter like a spark in the rain, tonight (ooh yeah)
Worn and weathered, scared to go home
We're here together, but still all alone, tonight (uh uh yeah)
And there's no need to lie, we've both been abused
The love and the pain, the cocaine and booze, now
Most people don't, but some people do

So let's roll the dice, one more time
Take a chance on love again tonight
Risk it all, lay it on the line
Let the skeletons fight for life
Tonight, hold on tight, as we collide"

ML909,The Isley Brothers,Fight The Power Part 1,neg,"Time is truly wastin', there's no guarantee, yeah
Smile is in the makin', we got to fight the powers that be
Got so many voices, saying all the same, yeah,
Killing up all around me, faces full of pain

I tried to play my music, they say my music's too loud
I tried talking about it, I got the big runaround
And when I rolled with the punches I got knocked on the ground
By all this bullshit going down, hey

Time is truly wastin', there's no guarantee, yeah
Smile is in the makin', we got to fight the powers that be
I don't understand it, people wanna say yeah

Those that got the answers, red tape in the way
I could tend to it easy, let's just have some fun naw, naw
Seekin' my satisfaction, keeps me on the run

I tried to play my music, say my music's too loud
I tried talking about it, I got the big runaround
And when I rolled with the punches I got knocked on the ground
