,title,artist,valence,arousal,dominance,sd_valence,sd_arousal,sd_dominance,empty,empty,empty,empty,unknown,total_number_of_words,emotional_impact_words,empty,norm_valence,norm_arousal,norm_dominance,empty,empty,empty,empty,empty,empty,empty,norm_unknown,norm_total,norm_emotional_impact,empty
ML20,You Got Yr. Cherry Bomb,Spoon,5.789538461538461,4.322,5.342923076923076,1.6661538461538463,2.3393846153846143,2.052769230769231,0,0,0,0,22,87,65,0,64.32820512820513,48.02222222222222,59.36581196581195,0,0,0,0,0,0,0,25.287356321839084,100,74.71264367816092,0.0
ML21,Peace Of God,Tarralyn Ramsey,6.383157894736843,4.248947368421054,6.035263157894737,1.6768421052631581,2.474736842105263,2.117368421052632,0,0,0,0,13,32,19,0,70.92397660818715,47.21052631578949,67.05847953216374,0,0,0,0,0,0,0,40.625,100,59.375,0.0
ML22,One,Tyrese,6.138666666666669,3.8034166666666716,5.473249999999995,1.8506666666666647,2.2743333333333324,2.3029166666666656,0,0,0,0,67,187,120,0,68.20740740740743,42.260185185185236,60.81388888888883,0,0,0,0,0,0,0,35.82887700534759,100,64.1711229946524,0.0
ML24,Unconditional Love,Tarralyn Ramsey,6.971648351648354,4.542747252747255,5.957142857142861,1.5294505494505484,2.6910989010988975,2.408901098901098,0,0,0,0,31,122,91,0,77.4627594627595,50.474969474969505,66.19047619047623,0,0,0,0,0,0,0,25.40983606557377,100,74.59016393442623,0.0
ML25,Steppin' Into Love,Kool & The Gang,6.853285714285713,4.885428571428575,5.67,1.6295714285714284,2.6694285714285706,2.4175714285714283,0,0,0,0,50,120,70,0,76.14761904761903,54.28253968253972,63.0,0,0,0,0,0,0,0,41.66666666666667,100,58.333333333333336,0.0
ML26,Darkness At The Bottom,Anders Osborne,5.011960784313724,3.7323529411764693,4.76294117647059,1.6478431372549018,2.2303921568627456,2.0931372549019605,0,0,0,0,48,99,51,0,55.68845315904138,41.47058823529411,52.921568627450995,0,0,0,0,0,0,0,48.484848484848484,100,51.515151515151516,0.0
ML29,Detroit City,Bobby Bare,6.262575757575756,4.042878787878789,5.71772727272727,1.6259090909090919,2.350757575757576,2.128181818181819,0,0,0,0,46,112,66,0,69.58417508417507,44.92087542087543,63.530303030303,0,0,0,0,0,0,0,41.07142857142857,100,58.92857142857143,0.0
ML30,Got No Reason Now For Goin' Home,Gene Watson,6.402631578947367,3.593157894736841,5.83921052631579,1.5939473684210528,2.3094736842105266,2.1189473684210527,0,0,0,0,50,88,38,0,71.14035087719296,39.923976608187125,64.88011695906432,0,0,0,0,0,0,0,56.81818181818182,100,43.18181818181818,0.0
ML32,Don't Worry,Playing For Change,6.466470588235289,4.317647058823532,5.784509803921569,1.624313725490196,2.5090196078431353,2.1827450980392165,0,0,0,0,25,76,51,0,71.84967320261433,47.97385620915035,64.2723311546841,0,0,0,0,0,0,0,32.89473684210527,100,67.10526315789474,0.0
ML33,Melody,The Rolling Stones,6.028150684931504,4.074931506849323,5.688082191780824,1.6430821917808196,2.357945205479454,2.192328767123287,0,0,0,0,66,212,146,0,66.97945205479449,45.27701674277026,63.20091324200915,0,0,0,0,0,0,0,31.132075471698112,100,68.86792452830188,0.0
ML34,Fixed,Stars,5.3151111111111105,4.078444444444447,5.2826666666666675,1.6411111111111103,2.3126666666666678,2.1460000000000012,0,0,0,0,34,79,45,0,59.056790123456786,45.31604938271607,58.69629629629631,0,0,0,0,0,0,0,43.037974683544306,100,56.9620253164557,0.0
ML37,You Are Not Alone,Mavis Staples,4.965348837209301,4.363023255813952,5.042790697674419,1.6911627906976738,2.4251162790697673,2.1727906976744196,0,0,0,0,30,73,43,0,55.1705426356589,48.47803617571058,56.031007751937985,0,0,0,0,0,0,0,41.0958904109589,100,58.9041095890411,0.0
ML38,Not Fade Away,The Rolling Stones,6.803636363636364,4.392500000000001,5.560454545454542,1.4640909090909096,2.7647727272727285,2.500454545454546,0,0,0,0,43,87,44,0,75.5959595959596,48.80555555555557,61.78282828282824,0,0,0,0,0,0,0,49.42528735632184,100,50.57471264367817,0.0
ML39,God Only Knows,The Beach Boys,6.30912280701754,4.322456140350879,5.549122807017541,1.7266666666666655,2.4122807017543852,2.1257894736842085,0,0,0,0,48,105,57,0,70.10136452241711,48.0272904483431,61.656920077972686,0,0,0,0,0,0,0,45.714285714285715,100,54.285714285714285,0.0
ML41,Angry Again,Megadeth,4.844568965517238,4.605344827586209,5.215172413793104,1.6423275862068967,2.389396551724138,2.233965517241379,0,0,0,0,24,140,116,0,53.82854406130265,51.17049808429121,57.946360153256705,0,0,0,0,0,0,0,17.142857142857142,100,82.85714285714286,0.0
ML42,Do You Call My Name,Ra,4.920404040404039,4.282626262626264,5.027878787878787,1.6857575757575767,2.310303030303031,2.211515151515152,0,0,0,0,67,166,99,0,54.67115600448932,47.58473625140294,55.86531986531986,0,0,0,0,0,0,0,40.36144578313253,100,59.63855421686747,0.0
ML45,Dirthouse,Static-X,5.686972477064224,4.440000000000006,5.363853211009178,1.5544954128440363,2.308715596330275,2.0612844036697258,0,0,0,0,30,139,109,0,63.18858307849137,49.3333333333334,59.59836901121308,0,0,0,0,0,0,0,21.58273381294964,100,78.41726618705036,0.0
ML46,Cyanide,Metallica,4.949696969696969,3.9959595959595973,5.03848484848485,1.707272727272727,2.30030303030303,2.1971717171717176,0,0,0,0,55,154,99,0,54.996632996633,44.39955106621775,55.983164983165,0,0,0,0,0,0,0,35.714285714285715,100,64.28571428571429,0.0
ML47,Longview,Green Day,5.265416666666666,4.209895833333335,5.521354166666666,1.7471875000000001,2.390833333333333,2.1142708333333338,0,0,0,0,47,143,96,0,58.504629629629626,46.776620370370395,61.348379629629626,0,0,0,0,0,0,0,32.86713286713287,100,67.13286713286713,0.0
ML48,Rape Me,Nirvana,3.579038461538459,5.472500000000002,4.035576923076923,1.6242307692307691,2.150192307692306,2.273653846153849,0,0,0,0,25,77,52,0,39.76709401709399,60.80555555555558,44.83974358974359,0,0,0,0,0,0,0,32.467532467532465,100,67.53246753246754,0.0
ML49,Sweet Dreams ,Marilyn Manson,5.539999999999999,4.645882352941178,5.20941176470588,1.5264705882352934,2.3029411764705885,2.2876470588235303,0,0,0,0,49,100,51,0,61.55555555555554,51.620915032679754,57.88235294117645,0,0,0,0,0,0,0,49.0,100,51.0,0.0
ML50,Mudshovel,Staind,4.691374999999999,4.701625000000002,5.096375000000002,1.6446250000000007,2.5008750000000006,2.1066250000000015,0,0,0,0,65,145,80,0,52.126388888888876,52.2402777777778,56.626388888888904,0,0,0,0,0,0,0,44.827586206896555,100,55.172413793103445,0.0
ML51,This Love,Pantera,6.461090909090913,4.8633636363636406,5.528090909090909,1.5988181818181806,2.761545454545453,2.470363636363636,0,0,0,0,21,131,110,0,71.78989898989903,54.037373737373784,61.42323232323232,0,0,0,0,0,0,0,16.030534351145036,100,83.96946564885496,0.0
ML54,Harvester Of Sorrow,Metallica,4.2731746031746,4.355873015873018,5.055079365079368,1.6571428571428573,2.3158730158730156,2.243015873015872,0,0,0,0,35,98,63,0,47.47971781305111,48.39858906525576,56.167548500881864,0,0,0,0,0,0,0,35.714285714285715,100,64.28571428571429,0.0
ML55,Civil War,Guns N' Roses,5.295581395348841,4.390406976744185,5.302558139534881,1.7311046511627897,2.3212209302325544,2.2266279069767463,0,0,0,0,101,273,172,0,58.8397932816538,48.78229974160205,58.91731266149868,0,0,0,0,0,0,0,36.996336996337,100,63.003663003663,0.0
ML56,King Of Nothing,Shadows Fall,4.533137254901959,4.651960784313726,4.848235294117645,1.8178431372549015,2.4075490196078437,2.27107843137255,0,0,0,0,40,142,102,0,50.36819172113288,51.6884531590414,53.869281045751606,0,0,0,0,0,0,0,28.169014084507044,100,71.83098591549296,0.0
ML57,Do Yourself A Favor,Comeback Kid,5.77024691358025,3.9627160493827183,5.928518518518515,1.5661728395061718,2.253333333333333,2.032592592592593,0,0,0,0,57,138,81,0,64.11385459533611,44.03017832647465,65.87242798353905,0,0,0,0,0,0,0,41.30434782608695,100,58.69565217391305,0.0
ML58,Superbeast,Rob Zombie,4.846296296296294,4.4480246913580235,5.208395061728395,1.6622222222222214,2.373333333333334,2.1275308641975306,0,0,0,0,62,143,81,0,53.84773662551438,49.42249657064471,57.87105624142661,0,0,0,0,0,0,0,43.35664335664335,100,56.64335664335665,0.0
ML59,Why Go,Pearl Jam,6.448874999999999,4.248875000000002,5.850124999999997,1.5777500000000009,2.3908750000000003,2.127750000000001,0,0,0,0,29,109,80,0,71.65416666666665,47.20972222222224,65.00138888888885,0,0,0,0,0,0,0,26.605504587155966,100,73.39449541284404,0.0
ML61,Terrible Lie,Nine Inch Nails,4.775401785714285,4.454241071428565,5.02379464285714,1.634464285714285,2.4372321428571424,2.2930803571428564,0,0,0,0,121,345,224,0,53.060019841269835,49.491567460317384,55.81994047619044,0,0,0,0,0,0,0,35.07246376811594,100,64.92753623188405,0.0
ML62,Wicked Garden,Stone Temple Pilots,5.26,4.702413793103447,5.084827586206895,1.7277011494252876,2.38344827586207,2.229310344827587,0,0,0,0,21,108,87,0,58.44444444444444,52.249042145593855,56.49808429118772,0,0,0,0,0,0,0,19.444444444444446,100,80.55555555555556,0.0
ML66,Everything I've Known,Korn,5.361940298507459,4.486567164179107,5.24597014925373,1.6710447761194038,2.499850746268657,2.174029850746269,0,0,0,0,49,116,67,0,59.57711442786066,49.85074626865674,58.28855721393034,0,0,0,0,0,0,0,42.241379310344826,100,57.758620689655174,0.0
ML67,Indestructible,Disturbed,5.1124107142857165,4.514642857142857,5.186071428571426,1.690267857142857,2.3802678571428575,2.1676785714285716,0,0,0,0,55,167,112,0,56.80456349206352,50.16269841269841,57.62301587301584,0,0,0,0,0,0,0,32.93413173652694,100,67.06586826347305,0.0
ML68,Riot,Three Days Grace,4.951136363636361,4.541590909090908,4.803636363636365,1.80625,2.284431818181817,2.163522727272726,0,0,0,0,31,119,88,0,55.012626262626235,50.4621212121212,53.373737373737384,0,0,0,0,0,0,0,26.05042016806723,100,73.94957983193278,0.0
ML69,Free And Easy ,Dierks Bentley,6.557528089887642,4.259101123595506,5.905168539325841,1.4928089887640448,2.4712359550561787,2.1802247191011253,0,0,0,0,28,117,89,0,72.86142322097379,47.32334581772784,65.61298377028712,0,0,0,0,0,0,0,23.931623931623932,100,76.06837606837607,0.0
ML70,When The Sun Goes Down ,Kenny Chesney,6.429126213592234,4.224563106796116,5.472135922330102,1.6298058252427172,2.4035922330097077,2.2791262135922348,0,0,0,0,54,157,103,0,71.43473570658038,46.9395900755124,60.801510248112244,0,0,0,0,0,0,0,34.394904458598724,100,65.60509554140127,0.0
ML72,Tell Me You Get Lonely,Frankie Ballard,5.331199999999999,3.9404000000000012,5.0661333333333305,1.6381333333333332,2.280933333333335,2.184000000000001,0,0,0,0,55,130,75,0,59.23555555555554,43.78222222222224,56.29037037037034,0,0,0,0,0,0,0,42.30769230769231,100,57.692307692307686,0.0
ML75,Your Man,Josh Turner,5.997594936708862,3.954050632911394,5.6669620253164545,1.5440506329113923,2.32113924050633,2.1770886075949374,0,0,0,0,59,138,79,0,66.63994374120958,43.93389592123771,62.966244725738385,0,0,0,0,0,0,0,42.7536231884058,100,57.2463768115942,0.0
ML76,Welcome To My Nightmare,Alice Cooper,5.8975,4.481250000000001,5.529999999999999,1.75375,2.395178571428571,2.125357142857143,0,0,0,0,25,81,56,0,65.52777777777777,49.79166666666668,61.44444444444443,0,0,0,0,0,0,0,30.864197530864196,100,69.1358024691358,0.0
ML77,Rock And Roll,Led Zeppelin,4.885142857142857,3.8252857142857155,4.769714285714286,1.6918571428571438,2.345714285714287,2.145428571428571,0,0,0,0,70,140,70,0,54.27936507936508,42.503174603174614,52.99682539682539,0,0,0,0,0,0,0,50.0,100,50.0,0.0
ML78,I Hate Myself For Loving You,Joan Jett & The Blackhearts,5.361249999999999,4.526249999999999,5.374125000000005,1.6068750000000005,2.368875,2.224749999999999,0,0,0,0,85,165,80,0,59.56944444444443,50.29166666666666,59.712500000000055,0,0,0,0,0,0,0,51.515151515151516,100,48.484848484848484,0.0
ML83,Somebody To Love,Jefferson Airplane,6.65149253731343,4.63850746268657,5.769552238805971,1.6380597014925373,2.6691044776119393,2.390149253731343,0,0,0,0,40,107,67,0,73.90547263681589,51.53897180762855,64.10613598673301,0,0,0,0,0,0,0,37.38317757009346,100,62.616822429906534,0.0
ML84,Bloody Well Right,Supertramp,5.859487179487182,4.732307692307693,6.016282051282054,1.6974358974358967,2.415769230769228,1.9550000000000005,0,0,0,0,42,120,78,0,65.10541310541313,52.58119658119659,66.84757834757836,0,0,0,0,0,0,0,35.0,100,65.0,0.0
ML85,Cat Scratch Fever,Ted Nugent,5.387999999999999,4.432105263157896,4.890526315789475,1.7120000000000002,2.4265263157894723,2.041578947368418,0,0,0,0,33,128,95,0,59.86666666666666,49.24561403508774,54.339181286549724,0,0,0,0,0,0,0,25.78125,100,74.21875,0.0
ML86,No More Mr. Nice Guy,Alice Cooper,5.6662025316455695,4.01886075949367,5.305949367088608,1.7791139240506335,2.4022784810126576,2.0798734177215175,0,0,0,0,43,122,79,0,62.957805907173,44.65400843881855,58.9549929676512,0,0,0,0,0,0,0,35.24590163934426,100,64.75409836065575,0.0
ML88,Let Me Take You Home Tonight,Boston,6.280000000000006,3.9289147286821655,5.825503875968989,1.5730232558139514,2.310930232558139,2.0364341085271325,0,0,0,0,86,215,129,0,69.77777777777784,43.65460809646851,64.72782084409988,0,0,0,0,0,0,0,40.0,100,60.0,0.0
ML89,Still Loving You,Scorpions,6.254024390243903,4.413414634146346,5.513170731707319,1.6445121951219508,2.5229268292682923,2.364390243902438,0,0,0,0,51,133,82,0,69.48915989159893,49.03794037940384,61.257452574525765,0,0,0,0,0,0,0,38.34586466165413,100,61.65413533834586,0.0
ML91,Don't Tell Me You Love Me,Night Ranger,6.304301075268816,4.521290322580652,5.409354838709678,1.5010752688172035,2.517204301075268,2.393118279569892,0,0,0,0,53,146,93,0,70.04778972520906,50.23655913978503,60.103942652329756,0,0,0,0,0,0,0,36.3013698630137,100,63.6986301369863,0.0
ML92,That Smell,Lynyrd Skynyrd,5.389523809523806,4.445904761904765,5.0178095238095235,1.7880952380952373,2.4690476190476205,2.163142857142857,0,0,0,0,57,162,105,0,59.883597883597844,49.39894179894183,55.753439153439146,0,0,0,0,0,0,0,35.18518518518518,100,64.81481481481481,0.0
ML93,Hit Me With Your Best Shot,Pat Benatar,4.999275362318837,4.710000000000002,5.197826086956519,1.7499999999999998,2.1934782608695653,2.2044927536231893,0,0,0,0,38,107,69,0,55.54750402576486,52.33333333333335,57.75362318840577,0,0,0,0,0,0,0,35.51401869158878,100,64.48598130841121,0.0
ML94,Paradise City,Guns N' Roses,6.142322274881519,4.407061611374405,5.713507109004739,1.6704739336492864,2.419478672985781,2.08895734597156,0,0,0,0,113,324,211,0,68.24802527646132,48.96735123749339,63.48341232227488,0,0,0,0,0,0,0,34.876543209876544,100,65.12345679012346,0.0
ML95,I've Seen All Good People,Yes,6.090874316939896,3.7939344262295105,5.439562841530055,1.531693989071037,2.3551366120218624,2.1582513661202154,0,0,0,0,124,307,183,0,67.67638129933218,42.15482695810567,60.439587128111725,0,0,0,0,0,0,0,40.390879478827365,100,59.60912052117264,0.0
ML97,You Got That Right,Lynyrd Skynyrd,6.2479365079365055,4.35,6.02015873015873,1.6384126984126974,2.4098412698412695,2.0304761904761905,0,0,0,0,54,117,63,0,69.42151675485006,48.33333333333333,66.89065255731923,0,0,0,0,0,0,0,46.15384615384615,100,53.84615384615385,0.0
ML98,Feel Like Makin' Love,Bad Company,7.15131147540984,4.478852459016394,5.856967213114745,1.6004918032786888,2.723360655737705,2.0983606557377033,0,0,0,0,51,173,122,0,79.45901639344267,49.76502732240437,65.07741347905272,0,0,0,0,0,0,0,29.47976878612717,100,70.52023121387283,0.0
ML99,Locomotive Breath,Jethro Tull,5.448636363636366,3.761969696969696,5.382272727272724,1.5842424242424233,2.2321212121212115,2.183181818181817,0,0,0,0,30,96,66,0,60.54040404040407,41.79966329966329,59.80303030303027,0,0,0,0,0,0,0,31.25,100,68.75,0.0
ML100,Can't Get Enough,Bad Company,6.152432432432431,4.386486486486487,5.548378378378379,1.507837837837838,2.4113513513513523,2.2681081081081085,0,0,0,0,30,67,37,0,68.36036036036035,48.738738738738746,61.64864864864866,0,0,0,0,0,0,0,44.776119402985074,100,55.223880597014926,0.0
ML101,Love Reign O'er Me,The Who,6.364999999999998,4.084583333333335,5.439722222222223,1.664166666666667,2.431805555555555,2.382638888888889,0,0,0,0,13,85,72,0,70.72222222222221,45.384259259259274,60.44135802469137,0,0,0,0,0,0,0,15.294117647058824,100,84.70588235294117,0.0
ML102,In The Dark,Billy Squier,5.513294117647057,4.114588235294116,5.280588235294119,1.7283529411764715,2.4036470588235317,2.213882352941177,0,0,0,0,28,113,85,0,61.25882352941174,45.717647058823516,58.67320261437911,0,0,0,0,0,0,0,24.778761061946902,100,75.22123893805309,0.0
ML104,Runnin' With The Devil,Van Halen,5.589400000000001,4.4700000000000015,5.208600000000001,1.8676000000000004,2.5746,2.2696000000000005,0,0,0,0,95,145,50,0,62.10444444444446,49.666666666666686,57.873333333333335,0,0,0,0,0,0,0,65.51724137931035,100,34.48275862068966,0.0
ML105,Fame,David Bowie,5.413820224719097,4.441235955056179,5.818426966292128,1.9752808988764037,2.510449438202245,2.095505617977529,0,0,0,0,19,108,89,0,60.15355805243442,49.347066167290876,64.64918851435698,0,0,0,0,0,0,0,17.59259259259259,100,82.4074074074074,0.0
ML106,Undercover Lover,Three Plus,6.455624999999997,4.379166666666667,5.752708333333334,1.656666666666667,2.394166666666667,2.068541666666667,0,0,0,0,34,82,48,0,71.72916666666663,48.65740740740742,63.918981481481495,0,0,0,0,0,0,0,41.46341463414634,100,58.536585365853654,0.0
ML107,Honey Baby,Three Plus,6.675588235294112,4.3316666666666706,5.7047058823529415,1.7997058823529417,2.4822549019607867,2.301568627450982,0,0,0,0,37,139,102,0,74.17320261437902,48.129629629629676,63.38562091503268,0,0,0,0,0,0,0,26.618705035971225,100,73.38129496402878,0.0
ML108,Two Person Party,Three Plus,6.268653846153845,4.318076923076924,5.752115384615384,1.6401923076923075,2.4584615384615387,2.1305769230769234,0,0,0,0,34,86,52,0,69.6517094017094,47.978632478632484,63.91239316239315,0,0,0,0,0,0,0,39.53488372093023,100,60.46511627906976,0.0
ML109,Easy Skanking,Bob Marley & The Wailers,6.06644859813085,4.019345794392519,5.90626168224299,1.5094392523364482,2.456448598130841,2.112149532710282,0,0,0,0,99,206,107,0,67.40498442367611,44.65939771547244,65.62512980269989,0,0,0,0,0,0,0,48.05825242718447,100,51.94174757281553,0.0
ML110,Private Beach Party,Gregory Isaacs,6.324285714285715,4.636632653061228,5.5590816326530605,1.7434693877551004,2.434285714285714,2.209285714285716,0,0,0,0,72,170,98,0,70.26984126984127,51.5181405895692,61.767573696145114,0,0,0,0,0,0,0,42.35294117647059,100,57.647058823529406,0.0
ML111,Anything You Want,Fiji,6.390999999999999,4.445000000000002,5.677375,1.645,2.4551250000000016,2.2332499999999995,0,0,0,0,37,117,80,0,71.0111111111111,49.388888888888914,63.08194444444444,0,0,0,0,0,0,0,31.62393162393162,100,68.37606837606837,0.0
ML112,Hell Fire,Ooklah The Moc,4.989126213592234,4.640679611650486,5.163009708737867,1.7678640776699035,2.31485436893204,2.2616504854368924,0,0,0,0,48,151,103,0,55.434735706580376,51.563106796116514,57.36677454153185,0,0,0,0,0,0,0,31.788079470198678,100,68.21192052980133,0.0
ML113,Angel ,Shaggy,6.4625316455696185,4.34601265822785,5.549493670886074,1.6946202531645562,2.462025316455698,2.1556962025316464,0,0,0,0,141,299,158,0,71.80590717299576,48.289029535865005,61.66104078762304,0,0,0,0,0,0,0,47.15719063545151,100,52.84280936454849,0.0
ML114,I'm Still In Love With You ,Sean Paul,6.3815625,4.477291666666671,5.572239583333331,1.6092187499999984,2.5363541666666687,2.318229166666667,0,0,0,0,161,353,192,0,70.90625,49.74768518518524,61.91377314814812,0,0,0,0,0,0,0,45.609065155807365,100,54.39093484419264,0.0
ML115,Good Vibrations,The Beach Boys,6.522796610169485,4.02940677966102,5.840169491525417,1.7955932203389857,2.43898305084746,1.99313559322034,0,0,0,0,105,223,118,0,72.47551789077205,44.771186440678,64.89077212806019,0,0,0,0,0,0,0,47.08520179372198,100,52.91479820627802,0.0
ML116,Still The One,Orleans,6.2734246575342425,4.012602739726026,5.731643835616441,1.7036986301369847,2.2520547945205482,2.2750684931506835,0,0,0,0,83,156,73,0,69.70471841704713,44.58447488584474,63.68493150684934,0,0,0,0,0,0,0,53.205128205128204,100,46.794871794871796,0.0
ML117,Every Time I Think Of You,The Babys,6.342440944881889,4.167874015748038,5.49748031496063,1.5995275590551163,2.51086614173228,2.2629133858267707,0,0,0,0,56,183,127,0,70.47156605424321,46.30971128608931,61.083114610673675,0,0,0,0,0,0,0,30.601092896174865,100,69.39890710382514,0.0
ML118,The One I Love,R.E.M.,5.988235294117645,4.0392156862745106,5.329215686274511,1.7954901960784306,2.3211764705882367,2.3927450980392164,0,0,0,0,30,81,51,0,66.53594771241828,44.88017429193901,59.21350762527234,0,0,0,0,0,0,0,37.03703703703704,100,62.96296296296296,0.0
ML120,Walking On Broken Glass,Annie Lennox,5.106538461538463,3.91432692307692,5.111634615384616,1.6560576923076895,2.123653846153846,2.049519230769233,0,0,0,0,98,202,104,0,56.73931623931625,43.492521367521334,56.79594017094017,0,0,0,0,0,0,0,48.51485148514851,100,51.48514851485149,0.0
ML122,Again,Lenny Kravitz,6.3623076923076916,4.272435897435896,6.031025641025639,1.7217948717948726,2.4497435897435893,2.1987179487179485,0,0,0,0,64,142,78,0,70.69230769230768,47.47150997150996,67.011396011396,0,0,0,0,0,0,0,45.07042253521127,100,54.929577464788736,0.0
ML124,Rock Me Amadeus,Falco,4.253265306122446,4.753265306122448,4.5822448979591845,1.650612244897959,2.2514285714285727,2.3626530612244885,0,0,0,0,212,261,49,0,47.258503401360514,52.81405895691609,50.91383219954649,0,0,0,0,0,0,0,81.22605363984674,100,18.773946360153257,0.0
ML125,Saved By Zero,The Fixx,6.149,4.973000000000001,6.530500000000001,1.8894999999999995,2.8820000000000006,1.8010000000000002,0,0,0,0,52,72,20,0,68.32222222222222,55.25555555555556,72.56111111111112,0,0,0,0,0,0,0,72.22222222222221,100,27.77777777777778,0.0
