Index,Artist,Title,Mood
ML259,Steven Curtis Chapman,Not Home Yet,pos
ML260,Digital Underground,Kiss You Back,pos
ML261,Mark Ronson,Bang Bang Bang ,neg
ML262,Sting,I Hung My Head,neg
ML263,Carrie Rodriguez,Big Love,pos
ML264,The Secret Sisters,The One I Love Is Gone,pos
ML265,Shelby Lynne,Family Tree,neg
ML266,Ra Ra Riot,Foolish,neg
ML267,Nitin Sawhney,Sunset,pos
ML268,Sidewalk Prophets,You Can Have Me,pos
ML269,Rebecca St. James,Song Of Love,pos
ML270,Aaron Shust,My Savior My God,pos
ML271,By The Tree,Beautiful One,pos
ML272,Josh Wilson,Before The Morning,neg
ML273,Aaron Shust,Give Me Words To Speak,pos
ML274,Jeremy Camp,Take You Back,neg
ML275,Jeremy Camp,Beautiful One,pos
ML276,Rich Mullins,Awesome God,pos
ML277,City On A Hill,God Of Wonders,pos
ML278,"Phillips, Craig & Dean",Friend Of God,pos
ML279,Third Day,I've Always Loved You,pos
ML280,Building 429,I Believe ,pos
ML281,DecembeRadio,Love Can,pos
ML282,Avalon,Testify To Love,pos
ML283,Sonicflood,I Could Sing Of Your Love Forever,pos
ML284,Nichole Nordeman,Time After Time ,neg
ML285,Marco Antonio Solis,Si No Te Hubieras Ido,neg
ML286,La Sonora Dinamita,Que Nadie Sepa Mi Sufrir,neg
ML287,Grupo Bryndis,Por Estar Pensando En Ti,neg
ML288,Juan Gabriel,Pero Que Necesidad,neg
ML289,Bronco,Oficialmente Loco,neg
ML290,Los Pasteles Verdes,El Solitario,neg
ML291,Ana Barbara,Bandido,neg
ML292,Joan Sebastian,Rumores ,neg
ML293,Jose Jose,Lo Dudo,neg
ML294,Los Mier,Te Amo,neg
ML295,Camilo Sesto,Tarde O Temprano,neg
ML296,Marco Antonio Solis,Amor En Silencio,neg
ML297,Vicente Fernandez,El Rey,neg
ML298,Los Humildes,Vestido Mojado,neg
ML299,Los Bukis,Que Mala,neg
ML300,Joan Sebastian,El Perdedor,neg
ML301,La Mafia,Me Estoy Enamorando,neg
ML302,Banda Machos,Al Gato Y Al Raton,neg
ML303,Joan Sebastian,Sentimental,neg
ML304,Palomo,Baraja De Oro,neg
ML305,The Bee Gees,Night Fever,neg
ML306,Deniece Williams,It's Gonna Take A Miracle,pos
ML307,Wings,Silly Love Songs,pos
ML308,Faith Hill,This Kiss,pos
ML309,Daryl Hall & John Oates,Kiss On My List,pos
ML310,Celine Dion,My Heart Will Go On,pos
ML311,Cher,Believe,pos
ML312,Backstreet Boys,I Want It That Way,neg
ML313,Lil Wayne,On Fire,neg
ML314,Kylie,All The Lovers,neg
ML315,Chromeo,Don't Turn The Lights On,neg
ML316,Rockell,In A Dream,pos
ML317,Infernal,From Paris To Berlin,pos
ML318,Ministry,Everyday Is Halloween,neg
ML319,Ferry Corsten,Fire,neg
ML320,Yves Larock,Rise Up,pos
ML321,Angel City,Love Me Right ,pos
ML322,MercyMe,Bless Me Indeed,pos
ML323,Aaron Shust,Watch Over Me,neg
ML324,Pocket Full Of Rocks,Song To The King,pos
ML325,The Museum,Never Look Away,neg
ML326,Brandon Heath,Love Never Fails,pos
ML327,Above The Golden State,I'll Love You So,pos
ML328,Jars Of Clay,They'll Know We Are Christians By Our Love,pos
ML329,Mark Schultz,Love Has Come,pos
ML330,Robbie Seay Band,Song Of Hope ,pos
ML331,Matt Brouwer,Sometimes,neg
ML332,Third Day,I Believe,pos
ML333,Fee,Glory To God Forever,pos
ML334,Sade,Somebody Already Broke My Heart,neg
ML335,Al Green,I'm Still In Love With You,pos
ML336,Phil Collins,Another Day In Paradise,pos
ML337,Jonathan Butler,So Strong,pos
ML338,The Cardigans,Lovefool,pos
ML339,Ryan Star,Start A Fire,neg
ML340,Dido,Hunter,pos
ML341,R.E.M.,Shiny Happy People,pos
ML342,Evanescence,My Immortal,neg
ML343,Michelle Branch,All You Wanted,neg
ML344,Tonic,You Wanted More,pos
ML345,Fontella Bass,Rescue Me,pos
ML346,The Beach Boys,Wouldn't It Be Nice,pos
ML347,Three Dog Night,An Old Fashioned Love Song,pos
ML348,The Beatles,Here Comes The Sun,pos
ML349,Billy Joel,Uptown Girl,pos
ML350,The Beatles,Love Me Do ,pos
ML351,The Beatles,In My Life,pos
ML352,The Beatles,All You Need Is Love,pos
ML353,Johnny Nash,I Can See Clearly Now,pos
ML354,Three Dog Night,Joy To The World,pos
ML355,Ringo Starr,It Don't Come Easy,pos
ML356,Shontelle,Perfect Nightmare,neg
ML357,Ke$ha,Your Love Is My Drug,pos
ML358,Shenandoah,I Want To Be Loved Like That,pos
ML359,George Strait,Baby Blue,pos
ML360,Porter Wagoner,"Green, Green Grass Of Home",pos
ML361,John Anderson,Wild And Blue,pos
ML362,Merle Haggard,Rainbow Stew,pos
ML363,Juice Newton,Angel Of The Morning,pos
ML364,Randy Travis,If I Didn't Have You,neg
ML365,Johnny Cash,Ring Of Fire,neg
ML366,Willie Nelson,Always On My Mind,pos
ML367,Dwight Yoakam,Honky Tonk Man,pos
ML368,Mark Chesnutt,Brother Jukebox,pos
ML369,Cavo,Blame,neg
ML370,Sammy Hagar,I Don't Need Love,pos
ML371,Alice Cooper,School's Out,neg
ML372,Kiss,Do You Love Me?,pos
ML373,Led Zeppelin,Nobody's Fault But Mine,neg
ML374,ZZ Top,Blue Jean Blues,pos
ML375,Thirty Seconds To Mars,This Is War,neg
ML376,311,Lovesong,pos
ML377,Marilyn Manson,Tainted Love,pos
ML378,Muse,Supermassive Black Hole,neg
ML379,Three Days Grace,Pain,neg
ML380,The Cult,Fire Woman,neg
ML381,Nirvana,Polly,neg
ML382,Stone Temple Pilots,Unglued,neg
ML383,Jimmy Eat World,Pain,neg
ML384,Blink-182,I Miss You,neg
ML385,Cake,Sick Of You,neg
ML386,Metric,Eclipse ,neg
ML387,Cake,War Pigs,neg
ML388,Marilyn Manson,The Fight Song,neg
ML389,Muse,Map Of The Problematique,neg
ML390,The Temptations,I Want A Love I Can See,pos
ML391,Alejandro Fernandez,Matalas,neg
ML392,Mary J. Blige,I Love You,pos
ML393,Liquits,Desde Que,neg
ML394,Pedro Infante,Luna De Octubre,neg
ML395,Bobby Vinton,Mr. Lonely,neg
ML396,Tommy James & The Shondells,Crystal Blue Persuasion,pos
ML397,Victor Manuelle,Nunca Habia Llorado Asi ,neg
ML398,Ian Van Dahl,Will I,pos
ML399,Kosheen,Hide U,neg
ML400,Ronnie Milsap,Stranger In My House,pos
ML401,Hank Williams,Your Cheatin' Heart,pos
ML402,Mark Chesnutt,Your Love Is A Miracle,pos
ML403,Dolly Parton,Real Love,pos
ML404,Patty Loveless,I'm That Kind Of Girl,pos
ML405,The Marshall Tucker Band,Heard It In A Love Song,pos
ML406,T. Graham Brown,I Tell It Like It Used To Be,pos
ML407,Marty Stuart,Burn Me Down,neg
ML408,George Strait,Let's Fall To Pieces Together,neg
ML409,Sammi Smith,Help Me Make It Through The Night,neg
ML410,Dolly Parton,Love Is Like A Butterfly,pos
ML411,Dolly Parton,I Will Always Love You,pos
ML412,Emmylou Harris,Queen Of The Silver Dollar,pos
ML413,Earl Thomas Conley,I Can't Win For Losin' You,pos
ML414,Charley Pride,Kiss An Angel Good Mornin',pos
ML415,The Judds,Love Can Build A Bridge,pos
ML416,Jack Ingram,Mustang Burn,neg
ML417,George Strait,TRUE,pos
ML418,Vince Gill,When I Call Your Name,neg
ML419,Alabama,Old Flame,neg
ML420,Dwight Yoakam,Please Please Baby,pos
ML421,Eddie Rabbitt,You And I,pos
ML422,Dwight Yoakam,Ain't That Lonely Yet,neg
ML423,Jonatha Brooke,Little Bird,pos
ML424,Quincy Jones,Killer Joe,neg
ML425,Roberta Flack & Donny Hathaway,Where Is The Love,pos
ML426,Jon B.,Someone To Love ,pos
ML427,Jack Ingram,Love You,pos
ML428,Taylor Dayne,I'll Always Love You,pos
ML429,Santana,Whole Lotta Love ,pos
ML430,Soundgarden,Let Me Drown,neg
ML431,Alice Cooper,Poison,neg
ML432,Dokken,Alone Again,neg
ML433,Iron Maiden,Phantom Of The Opera,neg
ML434,Scorpions,Animal Magnetism,pos
ML435,Black Sabbath,The Devil Cried,neg
ML436,The Who,Long Live Rock,neg
ML437,Led Zeppelin,Bring It On Home,pos
ML438,Scorpions,Coming Home,pos
ML439,Brian McKnight,Love Of My Life,pos
ML440,Lionel Richie,Penny Lover,pos
ML441,Lisa Stansfield,Change,pos
ML442,Celine Dion,Love Can Move Mountains,pos
ML443,Jah Cure,Love Is,pos
ML444,Jody Watley,Looking For A New Love,pos
ML445,Bobby Darin,Dream Lover,pos
ML446,The Archies,"Sugar, Sugar",pos
ML447,Gwen Mccrae,Rockin' Chair,pos
ML448,Whitney Houston,You Give Good Love,pos
ML449,Paul Anka,Puppy Love,pos
ML450,Harold Melvin & The Blue Notes,Don't Leave Me This Way,pos
ML451,Gyptian,Beautiful Lady,pos
ML452,Bob Marley & The Wailers,So Much Trouble In The World,neg
ML453,Donna Summer,Love To Love You Baby,pos
ML454,Donna Summer,I Feel Love,pos
ML455,New Edition,Lost In Love,pos
ML456,Duane Stephenson,Cottage In Negril,pos
ML457,Beyonce,Dangerously In Love,pos
ML458,Rihanna,Russian Roulette,neg
ML459,Michael Jackson,Gone Too Soon,pos
ML460,Shania Twain,From This Moment On,pos
ML461,Julio Iglesias,My Love,pos
ML462,"Phillips, Craig & Dean",You Are God Alone,pos
ML463,Matt Brouwer,"Father, I Adore You",pos
ML464,Counting Crows,Accidentally In Love,pos
ML465,Fistful Of Mercy,Father's Son,neg
ML466,Greg Laswell,Take Everything ,pos
ML467,A Flock Of Seagulls,Space Age Love Song,pos
ML468,Peter Gabriel,Shock The Monkey,neg
ML469,Los Tigres Del Norte,Jose Perez Leon,neg
ML470,The Beatles,P.S. I Love You,pos
ML471,Portugal. The Man,People Say,neg
ML472,Concrete Blonde,Joey,neg
ML473,Bruce Springsteen,I'm On Fire,neg
ML474,Sufjan Stevens,Vesuvius,neg
ML475,Fastball,Out Of My Head,neg
ML476,Dire Straits,So Far Away,pos
ML477,Train,Cab,neg
ML478,Blind Faith,Can't Find My Way Home,pos
ML479,Dave Matthews Band,Everyday,pos
ML480,Pete Droge & The Sinners,Beautiful Girl,pos
ML481,Roxy Music,Jealous Guy,neg
ML482,Shawn Colvin,Get Out Of This House,pos
ML483,U2,Window In The Skies,pos
ML484,Mark Schultz,Love Has Come,pos
ML485,Sidewalk Prophets,You Can Have Me,pos
ML486,Josh Wilson,Before The Morning,neg
ML487,Brandon Heath,Your Love,pos
ML488,Jeremy Camp,Take You Back,neg
ML489,Third Day,God Of Wonders,pos
ML490,The Georgia Mass Choir,Joy,pos
ML491,Stevie Wonder,Lookin' For Another Pure Love,pos
ML492,Jody Watley,Real Love,pos
ML493,Chet Baker,Let's Get Lost,neg
ML494,Nina Simone,Feeling Good,pos
ML495,Mel Torme,Comin' Home Baby,pos
ML496,Freddie Hubbard,Red Clay,pos
ML497,Cassandra Wilson,Time After Time,neg
ML498,Patrice Rushen,Remind Me,pos
ML499,Curtis Mayfield,Give Me Your Love ,pos
ML500,Chayanne,Tu Boca,neg
ML501,Jeremias,Hay Un Amor Afuera,neg
ML502,David Bisbal,Esclavo De Sus Besos,neg
ML503,Darlene Zschech,Call Upon His Name ,pos
ML504,Aaron Shust,To God Alone,pos
ML505,Laura Story,What A Savior,pos
ML506,Darrell Evans,Trading My Sorrows,neg
ML507,Newsong,My Heart's Already There,pos
ML508,Britt Nicole,The Lost Get Found,neg
ML509,Jadon Lavik,Hear Our Song,pos
ML510,The Afters,All That I Am,pos
ML511,Todd Agnew,Joy Unspeakable,pos
ML512,Norman Hutchins,Get Ready For Your Miracle,pos
ML513,Diana Krall,You're My Thrill,pos
ML514,Jonathan Butler,Color Green,pos
ML515,John Coltrane,Acknowledgement,pos
ML516,Seether,Driven Under,neg
ML517,Soundgarden,Rhinosaur,neg
ML518,Metallica,Fight Fire With Fire,neg
ML519,Deftones,You've Seen the Butcher,neg
ML520,Velvet Revolver,Fall To Pieces,neg
ML521,Puddle Of Mudd,Away From Me,neg
ML522,Staind,Home,neg
ML523,Pearl Jam,Glorified G,neg
ML524,Alex Bueno,Que Vuelva,neg
ML525,Los Iracundos,Y Te Has Quedado Sola,neg
ML526,Moenia,Ni Tu Ni Nadie,neg
ML527,David Guetta,On The Dancefloor ,neg
ML528,Los Cadetes De Linares,El Palomito,neg
ML529,La Oreja De Van Gogh,Vestido Azul,neg
ML530,Paulina Rubio,Algo De Ti,neg
ML531,Fred Hammond & Radical For Christ,I Will Bless His Holy Name,pos
ML532,Whitney Houston,Joy ,pos
ML533,Israel & New Breed,Friend Of God,pos
ML534,Micah Stampley,War Cry,neg
ML535,Gary Wright,Love Is Alive,pos
ML536,Scissor Sisters,Fire With Fire,neg
ML537,The Drifters,Some Kind Of Wonderful,pos
ML538,J. Moss,Abundantly,pos
ML539,Phil Perry,Love Don't Love Nobody,pos
ML540,Cherrelle,Everything I Miss At Home,pos
ML541,The Ohio Players,Love Rollercoaster,pos
ML542,The Staple Singers,Respect Yourself,pos
ML543,Clyde McPhatter,Lover Please,neg
ML544,The Jackson 5,Maybe Tomorrow,pos
ML545,The Blackbyrds,Walking In Rhythm,pos
ML546,Shalamar,Take That To The Bank,pos
ML547,Maze,Love Is The Key ,pos
ML548,Gerald Levert,Baby Hold On To Me,pos
ML549,Maxwell,Fortunate,pos
ML550,Eddie Kendricks,Intimate Friends,pos
ML551,Teena Marie,Young Love,pos
ML552,Ledisi,In The Morning,pos
ML553,Miki Howard,Come Share My Love,pos
ML554,Smokey Robinson,I Can't Give You Anything But Love,pos
ML555,George Benson,Don't Let Me Be Lonely Tonight,neg
ML556,Natalie Cole,Our Love,pos
ML557,Jimmy Sommers,If I Knew ,neg
ML558,Kindred The Family Soul,House Of Love,pos
ML559,Anita Baker,Angel,pos
ML560,Usher,Burn,neg
ML561,Waka Flocka Flame,Bustin' At 'Em,neg
ML562,Wavves,Mickey Mouse,neg
ML563,Suuns,Organ Blues,pos
ML564,The Apples In Stereo,Dream About The Future,pos
ML565,Bob Marley & The Wailers,Small Axe,neg
ML566,Waking The Cadaver,Boss Status,neg
ML567,Jah Cure,Troddin The Valley,neg
ML568,Bonnie 'Prince' Billy,Love Comes To Me,pos
ML569,Clap Your Hands Say Yeah,In This Home On Ice,neg
ML570,No Age,Fever Dreaming,neg
ML571,Grizzly Bear,Knife,neg
ML572,Out Hud,It's For You,neg
ML573,Hot Snakes,Braintrust,pos
ML574,Gravenhurst,The Velvet Cell,neg
ML575,Jemina Pearl,I Hate People ,neg
ML576,Asobi Seksu,Thursday,neg
ML577,Someone Still Loves You Boris Yeltsin,In Pairs,pos
ML578,Living Sacrifice,The Training,neg
ML579,Elliott Smith,Let's Get Lost,neg
ML580,Spank Rock,What It Look Like,neg
ML581,Stacey Kent,What A Wonderful World,pos
ML582,Frank Sinatra,My Kind Of Girl,pos
ML583,Ted Weems,Heartaches,pos
ML584,Rosemary Clooney,Come On-A My House,pos
ML585,Tommy Dorsey & His Orchestra,I'll Never Smile Again ,pos
ML586,Billie Holiday,Nice Work If You Can Get It,pos
ML587,Nat King Cole,Too Young,pos
ML588,Frank Sinatra,Nice 'N' Easy,pos
ML589,Nat King Cole,The Very Thought Of You ,pos
ML590,Escape The Fate,Issues,neg
ML591,Garbage,Stupid Girl,neg
ML592,Alkaline Trio,This Addiction,neg
ML593,Radiohead,Just,neg
ML594,Deftones,Minerva,pos
ML595,Sublime,Jailhouse,neg
ML596,Against Me!,I Was A Teenage Anarchist,neg
ML597,Sade,Love Is Stronger Than Pride,pos
ML598,Bruce Hornsby,Walk In The Sun,pos
ML599,Brian McKnight,Crazy Love,pos
ML600,Lionel Richie,You Are,pos
ML601,Harry Nilsson,Jump Into The Fire,pos
ML602,The Derek Trucks Band,Rastaman Chant,pos
ML603,Monchy & Alexandra,Dos Locos,neg
ML604,Chayanne,Un Siglo Sin Ti,neg
ML605,Domenic Marte,Eres Asi,neg
ML606,Juanes,Me Enamora,neg
ML607,Aleks Syntek,Duele El Amor ,neg
ML608,Amy Grant,Lucky One,pos
ML609,Natalie Cole,Inseparable,pos
ML610,Michael Jackson,One More Chance,pos
ML611,Robert John,Sad Eyes,neg
ML612,Elton John,Blue Eyes,pos
ML613,Bread,Make It With You,pos
ML614,Wilson Phillips,You're In Love,pos
ML615,Three Dog Night,Black & White,pos
ML616,Carly Simon,Haven't Got Time For The Pain,neg
ML617,Kenny Loggins,Meet Me Half Way,pos
ML618,Lionel Richie,Truly,pos
ML619,Stevie Wonder,Sweetest Somebody I Know,pos
ML620,Michael Jackson,Got To Be There,pos
ML621,The Emotions,Don't Ask My Neighbors,neg
ML622,The Majors,A Wonderful Dream,pos
